EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:51:37"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT_ban
TimeSeries,"Katt_mints _baseline_BT_ban"
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000,0.005646558,0.04115542,0.02453068,0.5442065,0.1406758,0.4753387,0.1880438,0.1688437,0.9141684,0.1613457,0.853255,0.08278514,0.01270634,0.9908336,0.02671786,9.675937,2.875606,17.97478,0.05022724,50.96306,44.00342,2.205942,14.53232,18.60253,0.05049847,2.516735,15.61809,0.07198439,20.6098
2001,0.004542287,0.04102939,0.02747436,0.4948126,0.1075332,0.386281,0.1620759,0.1234061,0.8392606,0.1645876,0.9017203,0.06989426,0.01156087,0.9093552,0.07032864,10.58414,2.528638,17.30586,0.1038923,52.80996,33.25555,2.060282,11.81846,24.26044,0.08404645,9.615365,12.23349,0.3712682,38.81158
2002,0.003660588,0.04089428,0.03077129,0.4563493,0.1074158,0.3217143,0.1516658,0.1315313,0.8186722,0.1669438,0.8948157,0.06415278,0.01051216,0.8382351,0.1196147,9.570853,2.063858,10.90515,0.146398,57.93115,36.79838,1.962892,10.92296,29.16512,0.06720225,5.187341,7.610953,0.1516984,21.90086
2003,0.002953775,0.04079441,0.0186421,0.4497521,0.1096009,0.3247644,0.1285306,0.1129336,0.8370228,0.1584254,0.7599318,0.05460127,0.008476306,0.6211703,0.09456979,6.667767,1.452282,10.67836,0.08436201,60.90674,33.02654,1.778383,9.367356,25.79642,0.03560509,9.545442,6.02103,0.3633632,34.09879
2004,0.002194048,0.04066933,0.01919129,0.3979044,0.1061085,0.3101895,0.1192113,0.1478993,0.8948423,0.1496997,0.6501752,0.04201887,0.008737413,0.795636,0.1231495,7.021992,1.936847,14.69544,0.09578016,69.37591,50.28376,1.717517,9.356936,34.3066,0.03850358,17.91487,8.734131,0.4550352,44.87372
2005,0.00183036,0.04058789,0.02382131,0.4666225,0.1252051,0.3759016,0.1369617,0.2107787,1.082723,0.1783603,0.6788014,0.06518088,0.01151881,1.023433,0.2580037,8.721002,2.370441,15.07662,0.1929429,80.61831,69.46124,1.84013,10.27941,42.94321,0.05800433,13.62369,9.843243,0.3452307,38.37618
2006,0.001975215,0.04063543,0.0231577,0.5932953,0.1768569,0.4763913,0.1826468,0.2371135,1.3775,0.2275655,0.8389073,0.07504488,0.01261797,0.9830195,0.4075237,8.724975,2.07687,12.86973,0.3067338,88.07296,66.00424,1.962058,10.76129,39.24139,0.05485481,6.681179,9.072132,0.2280624,27.77426
2007,0.002496889,0.04077179,0.02255511,0.6362401,0.1814298,0.5345466,0.2398563,0.296605,1.688281,0.258739,0.9876161,0.05748404,0.01190412,0.9844866,0.5694706,8.213881,2.084935,15.65417,0.513827,99.60839,91.98328,2.128,12.09032,46.88977,0.0428718,35.39613,5.197515,0.8729455,73.2181
2008,0.003732527,0.04087595,0.02819782,0.7290772,0.2376002,0.6579791,0.4354016,0.4496025,2.23788,0.3195542,1.083367,0.09392255,0.01535871,1.088427,0.6891346,8.613027,1.940751,9.572132,0.8804744,113.7307,108.173,2.478148,14.85609,50.14287,0.03226527,9.794225,5.756979,0.1209025,23.70568
2009,0.005886176,0.04109273,0.02819782,0.9050296,0.2168034,0.7556431,0.4041558,0.305216,2.644011,0.3672837,1.276907,0.07018166,0.01345772,0.8350037,0.3139534,6.57728,1.424214,10.30171,0.4758092,106.797,43.21724,2.484797,13.66818,27.18503,0.0160665,4.466587,6.544408,0.2972075,28.27191
2010,0.007821102,0.04128657,0.02819782,0.8171365,0.1398155,0.6034816,0.2523922,0.2158343,2.531127,0.3293771,1.443748,0.03534775,0.01282282,0.9337526,0.2668874,6.554903,1.867359,11.08683,0.4235462,99.88993,44.01548,2.362667,12.37366,25.2818,0.01445506,9.899355,6.63143,0.3070032,31.96384
2011,0.008891637,0.04131452,0.02819782,0.7385633,0.1107732,0.4644469,0.215562,0.1926889,2.365074,0.3035549,1.487157,0.04222208,0.01296363,0.9189127,0.237295,6.918227,1.956934,11.05871,0.3798509,94.87299,45.64437,2.239836,11.09121,24.39853,0.01408812,9.684031,6.652552,0.3063419,31.76144
2012,0.009169373,0.04126365,0.02819782,0.6912417,0.09163516,0.3950361,0.1958287,0.1807207,2.230215,0.2861454,1.454735,0.04613347,0.01267147,0.9142067,0.2196741,7.154122,2.020277,11.05598,0.3449503,91.9329,47.56767,2.131366,10.02703,24.42496,0.01431636,9.626941,6.656948,0.3062725,31.74432
2013,0.008631014,0.04119594,0.02819782,0.6633227,0.08416594,0.4005276,0.1471686,0.1755576,2.143832,0.2751513,1.406988,0.04834628,0.012539,0.9149072,0.2091005,7.293493,2.063361,11.04144,0.3167884,90.64904,49.70031,2.041215,9.193024,24.99141,0.01476435,9.557881,6.650722,0.3061722,31.70903
2014,0.007644108,0.0411439,0.02819782,0.6482853,0.09108239,0.4053597,0.1054722,0.1750763,2.104563,0.2698379,1.369163,0.04914061,0.01245557,0.9180343,0.2017823,7.349163,2.07957,11.02145,0.2934726,90.642,51.85381,1.970109,8.529475,25.80992,0.01520112,9.487305,6.638828,0.3060772,31.66853
2015,0.006826118,0.04112382,0.02819782,0.6436911,0.1032956,0.3949816,0.08807966,0.1777369,2.103796,0.2688217,1.360104,0.0487409,0.01237025,0.9219873,0.1951151,7.356215,2.080113,11.00158,0.2735334,91.54322,53.73813,1.915435,7.964882,26.60892,0.01549893,9.426608,6.626187,0.3059998,31.63235
2016,0.006303836,0.04112854,0.02819782,0.6437451,0.1111604,0.3986675,0.08626144,0.1819916,2.131544,0.2706663,1.350708,0.04822239,0.01229613,0.9256569,0.1884017,7.353923,2.07905,10.9845,0.2569361,93.0313,55.22491,1.8733,7.469828,27.27329,0.01562716,9.379338,6.615235,0.3059394,31.60354
2017,0.005974282,0.04114027,0.02819782,0.6428676,0.1144567,0.4208332,0.09643012,0.1866219,2.178676,0.274216,1.334885,0.04706627,0.01223717,0.9286463,0.1818659,7.353765,2.077968,10.97112,0.2438697,94.84283,56.29444,1.840032,7.036807,27.76824,0.01561023,9.345703,6.606713,0.3058964,31.58273
2018,0.005821669,0.04114935,0.02819782,0.6406538,0.1145152,0.4444846,0.1346044,0.1908463,2.236964,0.278584,1.327898,0.0458625,0.01218751,0.9307117,0.1757897,7.35498,2.077184,10.96199,0.2341534,96.75744,56.93763,1.812355,6.657735,28.06477,0.01549,9.32621,6.601015,0.3058746,31.57076
2019,0.005911677,0.04115315,0.02819782,0.6384288,0.1127347,0.4646042,0.1938152,0.1941359,2.298794,0.2830212,1.320938,0.04498805,0.01214799,0.9316372,0.1703915,7.359492,2.079308,10.95734,0.2273305,98.60428,57.17293,1.78729,6.321664,28.15928,0.01531158,9.32017,6.598332,0.3058718,31.56726
2020,0.006242904,0.0411522,0.02819782,0.636251,0.1103153,0.4851922,0.232357,0.1961923,2.358334,0.286996,1.311889,0.04432366,0.01211588,0.9316736,0.1656213,7.365416,2.083477,10.95587,0.2228348,100.2967,57.12208,1.762752,6.020115,28.13243,0.01511789,9.322829,6.597825,0.3058773,31.56864
2021,0.006640902,0.04114725,0.02819782,0.6349067,0.1079738,0.5057684,0.2366132,0.1970501,2.412864,0.2903324,1.301514,0.04369658,0.01209108,0.9315431,0.161193,7.370206,2.087906,10.95535,0.2201767,101.8269,56.95468,1.738111,5.749563,28.09958,0.01494016,9.328208,6.597867,0.3058832,31.57062
