EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:45:59"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT+25%
TimeSeries,Katt_mints_baseline_BT+25
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2014,0.004733,0.04076736,0.02819782,0.4880546,0.1262319,0.3753657,0.09471715,0.1750168,1.986577,0.2322673,0.7364607,0.05445681,0.01020858,0.7404879,0.1982091,6.975946,1.718343,11.03716,0.2824478,87.32491,51.78013,1.847211,10.2661,24.9308,0.01769191,9.491256,6.653603,0.3060474,31.68004
2015,0.003975329,0.04072985,0.02819782,0.4951884,0.1291464,0.3740152,0.08166174,0.1784306,1.9607,0.2295192,0.7361818,0.05416875,0.01008427,0.7428713,0.1889453,6.994556,1.720273,11.01818,0.2569279,87.51191,53.71016,1.78121,9.777831,25.62785,0.01829008,9.429482,6.642724,0.3059678,31.64529
2016,0.003440893,0.04070747,0.02819782,0.4966087,0.1291858,0.3816597,0.08871394,0.1833553,1.964337,0.2295989,0.736206,0.05370136,0.009989095,0.7451925,0.1815328,7.008728,1.721619,11.00163,0.2365858,88.36077,55.29873,1.72914,9.364511,26.22172,0.01863788,9.379327,6.632877,0.3059027,31.61672
2017,0.003087157,0.04069461,0.02819782,0.4945102,0.1277035,0.400846,0.1128469,0.1886056,1.988762,0.2314662,0.7346468,0.05329723,0.009919874,0.7469897,0.1757253,7.020729,1.72331,10.98899,0.2207523,89.58424,56.47284,1.687229,9.019256,26.6487,0.01876625,9.343044,6.625322,0.3058561,31.59635
2018,0.002903247,0.0406876,0.02819782,0.4907461,0.1256968,0.4197448,0.1629233,0.1933255,2.02562,0.2342292,0.7324057,0.05288335,0.00986633,0.7479784,0.1712053,7.028082,1.724906,10.98099,0.2085272,90.94698,57.19413,1.651954,8.726097,26.87341,0.0187327,9.321881,6.620705,0.3058316,31.58531
2019,0.002895761,0.04068338,0.02819782,0.4864285,0.1233749,0.4355876,0.2146427,0.1969649,2.067528,0.2371648,0.7286751,0.05236258,0.009821651,0.7481005,0.1676681,7.03146,1.726827,10.97724,0.199065,92.28721,57.51456,1.620319,8.46867,26.92406,0.01860239,9.313539,6.618906,0.3058226,31.58182
2020,0.003002224,0.04067915,0.02819782,0.4820069,0.1211223,0.4549904,0.2314108,0.1993461,2.109467,0.2398384,0.7230484,0.0517921,0.009784822,0.7477636,0.1647741,7.032074,1.729247,10.97573,0.1916951,93.5366,57.59717,1.590583,8.23927,26.90855,0.01843381,9.311845,6.618572,0.3058182,31.58136
2021,0.003119067,0.0406731,0.02819782,0.4779841,0.119216,0.4716018,0.2285776,0.2006756,2.149269,0.242149,0.7160775,0.05127435,0.009757057,0.7475076,0.1622434,7.029288,1.731496,10.97449,0.18594,94.68705,57.58837,1.56234,8.03745,26.91319,0.01826433,9.312092,6.618242,0.3058154,31.5809
2022,0.0032071,0.0406653,0.02819782,0.4747557,0.1178238,0.4766217,0.2263203,0.201326,2.186377,0.2441694,0.7090306,0.05079896,0.009736578,0.7475089,0.1599415,7.022938,1.733016,10.97293,0.1814507,95.74314,57.54461,1.535701,7.862024,26.94985,0.01810723,9.313024,6.617481,0.3058151,31.58006
2023,0.003267139,0.0406566,0.02819782,0.4723099,0.1168523,0.4738162,0.224364,0.2015926,2.220661,0.2459748,0.7026007,0.05035728,0.009721207,0.7477039,0.1578076,7.015127,1.734034,10.97114,0.1779657,96.7089,57.48463,1.510756,7.710203,27.0079,0.01796386,9.314281,6.616405,0.3058163,31.57893
2024,0.00329444,0.04064772,0.02819782,0.4704602,0.1161436,0.4712664,0.2185904,0.2016633,2.252186,0.2476151,0.6969314,0.04997206,0.009710131,0.7480423,0.155807,7.007622,1.734789,10.96917,0.1752992,97.59084,57.42494,1.487556,7.579615,27.08309,0.01783283,9.31537,6.615097,0.3058177,31.57743
2025,0.003283472,0.04063922,0.02819782,0.4690515,0.1155961,0.4695884,0.2108002,0.2016655,2.281155,0.2491326,0.6921249,0.0496508,0.009702682,0.7484941,0.153936,7.000845,1.735279,10.96706,0.1733224,98.39594,57.3742,1.466134,7.468295,27.1699,0.01771189,9.3161,6.613619,0.3058189,31.57562
2026,0.003242998,0.04063153,0.02819782,0.4679556,0.1151674,0.4658941,0.2047278,0.2016778,2.307745,0.2505544,0.6882622,0.04938411,0.009697847,0.7490016,0.1522138,6.99493,1.735533,10.96499,0.1719372,99.12772,57.32906,1.446449,7.373943,27.25748,0.01759835,9.316701,6.612118,0.3058205,31.57382
2027,0.003187091,0.04062488,0.02819782,0.4670556,0.1148147,0.4617163,0.1999959,0.2017264,2.332007,0.2518824,0.6852541,0.04916176,0.009694844,0.7495046,0.1506566,6.990149,1.735669,10.96312,0.1710607,99.78745,57.28443,1.428381,7.294083,27.3378,0.01749065,9.317377,6.610727,0.3058224,31.57225
2028,0.003123209,0.04061927,0.02819782,0.4662718,0.1145037,0.4594204,0.1952662,0.2018069,2.353954,0.2531067,0.6829129,0.04897893,0.00969334,0.7499766,0.1492675,6.986522,1.73576,10.96149,0.1706227,100.3771,57.23941,1.411781,7.22656,27.40872,0.01738876,9.318142,6.609492,0.3058244,31.57094
2029,0.003056192,0.04061465,0.02819782,0.4655749,0.1142213,0.458285,0.1917697,0.2019081,2.37362,0.2542181,0.681093,0.04882905,0.009693037,0.7504066,0.1480438,6.983772,1.735805,10.96013,0.1705614,100.8991,57.19233,1.396501,7.169487,27.46855,0.01729336,9.31907,6.608438,0.3058266,31.56995
2030,0.002993857,0.04061086,0.02819782,0.4649464,0.1139572,0.4570168,0.1910663,0.2020134,2.391023,0.2552062,0.6796817,0.04870144,0.009693513,0.750775,0.1469801,6.981662,1.735817,10.9591,0.1708192,101.355,57.13842,1.382376,7.120963,27.51393,0.01720528,9.320344,6.607603,0.3058297,31.56942
2031,0.002943041,0.04060779,0.02819782,0.4643588,0.1136946,0.4562244,0.1923072,0.2020991,2.406161,0.2560572,0.6785367,0.0485878,0.009694457,0.7510669,0.1460644,6.980067,1.735839,10.95841,0.1713405,101.7466,57.07498,1.36923,7.079203,27.54397,0.01712565,9.322041,6.607015,0.3058334,31.56937
2032,0.002905139,0.04060525,0.02819782,0.4637932,0.1134259,0.4565591,0.1939646,0.202145,2.419079,0.2567624,0.6775174,0.04848485,0.00969579,0.7512894,0.1452776,6.97882,1.735887,10.95802,0.1720748,102.0778,57.00409,1.356908,7.042799,27.56175,0.01705577,9.324048,6.60664,0.3058374,31.56968
2033,0.002878462,0.04060308,0.02819782,0.4632494,0.1131591,0.4572903,0.1957671,0.2021439,2.429919,0.2573246,0.6765451,0.04839076,0.00969748,0.7514627,0.1445984,6.977707,1.73594,10.95785,0.1729775,102.3545,56.92973,1.345301,7.010731,27.57136,0.0169965,9.326214,6.606415,0.3058417,31.57023
2034,0.00286134,0.04060114,0.02819782,0.4627349,0.1129064,0.4576868,0.1976784,0.2020993,2.438891,0.2577565,0.6755944,0.04830353,0.00969947,0.7516048,0.1440073,6.976599,1.735979,10.95781,0.1740094,102.5836,56.85546,1.334332,6.982227,27.57615,0.01694792,9.328409,6.606287,0.3058459,31.57088
2035,0.002851421,0.04059935,0.02819782,0.4622561,0.1126764,0.457929,0.1990209,0.2020205,2.446244,0.2580765,0.6746567,0.04822282,0.009701755,0.7517329,0.1434856,6.975479,1.736002,10.95783,0.1751379,102.7727,56.78529,1.323958,6.956771,27.57956,0.01690947,9.330483,6.606205,0.3058499,31.57152
2036,0.002845129,0.04059768,0.02819782,0.4618213,0.1124766,0.458189,0.1994265,0.2019216,2.452266,0.2583076,0.6737413,0.04814998,0.009704371,0.7518643,0.1430165,6.974358,1.736,10.95785,0.1763374,102.9294,56.72318,1.314162,6.934084,27.58467,0.0168801,9.332295,6.606119,0.3058535,31.57203
2037,0.002839466,0.04059609,0.02819782,0.4614401,0.1123129,0.4582057,0.1992537,0.2018185,2.45724,0.2584745,0.6728799,0.04808582,0.009707327,0.75201,0.1425877,6.973248,1.735959,10.95783,0.1775887,103.061,56.67118,1.304949,6.91402,27.5929,0.01685828,9.33378,6.605996,0.3058565,31.57238
2038,0.00283309,0.04059461,0.02819782,0.461116,0.1121851,0.4578841,0.1988662,0.2017249,2.461416,0.2585988,0.6721056,0.04803015,0.009710574,0.7521715,0.1421909,6.972205,1.735882,10.95775,0.1788777,103.1729,56.6293,1.29632,6.896446,27.60399,0.01684232,9.334947,6.605836,0.305859,31.57257
2039,0.002825541,0.04059326,0.02819782,0.4608451,0.1120878,0.4574841,0.1982954,0.2016487,2.464988,0.2586969,0.6714359,0.04798272,0.009714065,0.7523448,0.1418209,6.971292,1.735776,10.95763,0.1801939,103.2694,56.5966,1.288273,6.881217,27.61717,0.01683064,9.33583,6.605646,0.3058611,31.57263
2040,0.002816629,0.04059207,0.02819782,0.4606206,0.1120146,0.4571681,0.1976227,0.2015934,2.468097,0.2587794,0.6708744,0.04794331,0.009717756,0.7525255,0.1414744,6.970543,1.735652,10.95749,0.1815299,103.3534,56.57169,1.280796,6.868185,27.63155,0.01682191,9.336477,6.605437,0.3058628,31.57259
2041,0.002806715,0.04059103,0.02819782,0.4604356,0.1119598,0.4568774,0.1970916,0.2015587,2.470839,0.2588528,0.6704195,0.04791107,0.009721601,0.7527077,0.1411494,6.969965,1.735513,10.95733,0.1828796,103.4269,56.5527,1.273867,6.857172,27.64597,0.01681515,9.336955,6.605226,0.3058642,31.57249
2042,0.002796666,0.04059016,0.02819782,0.4602816,0.1119175,0.4566053,0.1968186,0.2015417,2.473268,0.2589195,0.6700606,0.04788474,0.009725532,0.7528852,0.1408449,6.969549,1.735368,10.95719,0.1842376,103.4908,56.53767,1.267456,6.847963,27.65935,0.0168097,9.337329,6.605027,0.3058654,31.5724
2043,0.002787262,0.04058945,0.02819782,0.4601507,0.1118827,0.4564459,0.1967296,0.2015371,2.47541,0.258979,0.6697801,0.04786323,0.009729515,0.7530531,0.1405598,6.96928,1.735224,10.95708,0.1855987,103.5459,56.52509,1.261526,6.840332,27.67106,0.0168052,9.337645,6.604851,0.3058665,31.57231
2044,0.002778935,0.04058887,0.02819782,0.4600367,0.1118529,0.456411,0.1967633,0.2015398,2.477278,0.2590298,0.6695583,0.0478457,0.009733514,0.75321,0.1402925,6.969131,1.735084,10.957,0.1869574,103.5926,56.51403,1.256039,6.834068,27.68094,0.01680151,9.337928,6.604703,0.3058675,31.57225
2045,0.002771931,0.04058841,0.02819782,0.4599364,0.1118268,0.4564261,0.1969152,0.2015457,2.478881,0.2590705,0.6693805,0.04783136,0.009737507,0.7533556,0.1400412,6.96907,1.734948,10.95695,0.1883086,103.6314,56.50392,1.250956,6.828975,27.68905,0.01679862,9.3382,6.604584,0.3058684,31.57223
2046,0.002766362,0.04058805,0.02819782,0.4598478,0.1118037,0.4564561,0.1971343,0.2015518,2.480232,0.2591002,0.6692343,0.04781952,0.009741473,0.7534904,0.139804,6.969069,1.734817,10.95693,0.1896472,103.6628,56.49449,1.246244,6.824881,27.69561,0.01679657,9.338458,6.604487,0.3058692,31.57223
2047,0.002762106,0.04058776,0.02819782,0.4597693,0.1117839,0.4565105,0.1973311,0.2015564,2.481346,0.2591188,0.6691106,0.04780982,0.009745403,0.7536163,0.1395786,6.969109,1.734691,10.95694,0.1909682,103.6876,56.48583,1.241873,6.821642,27.70101,0.0167954,9.338703,6.604411,0.3058699,31.57225
