EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:46:00"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT+25%
TimeSeries,Katt_mints_baseline_BT+25
StartYear,1982

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2002,0,0,0,0.2932647,0.003071906,0.07037372,0.005767596,0.003338496,0.03285204,0.03165908,0.5289997,0.0003325557,0.003579352,0.6969844,0.01250293,0.5738643,1.942518,0,0.0003398356,0,0,0.04954,0.0004676453,0,0,0,0,0,0
2003,0,0,0,0.2904383,0.003149724,0.07308935,0.005028739,0.002668542,0.03517225,0.03114183,0.4613595,0.0002906664,0.002990414,0.5247629,0.01025722,0.4315672,1.447751,0,0.0001974063,0,0,0.0452991,0.0003843047,0,0,0,0,0,0
2004,0,0,0,0.2057503,0.002441684,0.05047922,0.00337264,0.002876618,0.02703241,0.0214562,0.3376057,0.0001913157,0.002651881,0.5697035,0.01149587,0.3984813,1.684978,0,0.0001888384,0,0,0.0370279,0.0003194234,0,0,0,0,0,0
2005,0,0,0,0.2179553,0.002602564,0.05610861,0.003554033,0.003832991,0.02951962,0.02308005,0.3250857,0.0002737174,0.003300728,0.6646624,0.02274429,0.4971661,2.005586,0,0.0003411379,0,0,0.03536854,0.0003194945,0,0,0,0,0,0
2006,0,0,0,0.2419908,0.003210167,0.06226936,0.004150397,0.003754143,0.03292884,0.02569351,0.3518739,0.0002760077,0.003248938,0.5596152,0.03208081,0.4464811,1.564683,0,0.0004780829,0,0,0.03262086,0.0002907639,0,0,0,0,0,0
2007,0,0,0,0.2276514,0.00288892,0.06093076,0.004753016,0.004073209,0.03537526,0.02575737,0.3628297,0.0001851778,0.002668166,0.4881285,0.03889883,0.3465865,1.356431,0,0.0006976463,0,0,0.0315226,0.0002887372,0,0,0,0,0,0
2008,0,0,0,0.2530477,0.003669892,0.07219186,0.008304878,0.006219246,0.04431038,0.03069411,0.3820998,0.0002904678,0.003252593,0.5086019,0.04411375,0.2938789,1.173472,0,0.001124264,0,0,0.03671006,0.000356376,0,0,0,0,0,0
2009,0,0,0,0.3311909,0.004086717,0.09426927,0.009087407,0.005129116,0.06177924,0.04048208,0.4547807,0.0002783999,0.003138817,0.4130026,0.02385339,0.2674988,0.9196454,0,0.0007593653,0,0,0.04561474,0.0004055702,0,0,0,0,0,0
2010,0,0,0,0.2516814,0.002546841,0.07170019,0.005616853,0.003603498,0.05860374,0.03446803,0.3859048,0.0001673486,0.002675559,0.4384321,0.0199158,0.270238,1.189813,0,0.0006772234,0,0,0.04273971,0.0003771927,0,0,0,0,0,0
2011,0,0,0,0.2178366,0.00194613,0.05397615,0.004752195,0.003211458,0.05438001,0.03090756,0.3362149,0.0002217482,0.002770931,0.4343747,0.01812065,0.2867825,1.255261,0,0.0006106655,0,0,0.0400197,0.0003557914,0,0,0,0,0,0
2012,0,0,0,0.2080076,0.001863063,0.04546649,0.004262774,0.0030206,0.05082081,0.02877382,0.3239001,0.0002246941,0.002720324,0.4307044,0.01716156,0.2868628,1.250453,0,0.0005532626,0,0,0.03768747,0.0003374527,0,0,0,0,0,0
2013,0,0,0,0.2051248,0.002174595,0.0476004,0.003068223,0.002948587,0.04828003,0.02740788,0.3226961,0.0002098376,0.002664262,0.4302167,0.01629809,0.2845996,1.246652,0,0.0004996086,0,0,0.0357548,0.0003199201,0,0,0,0,0,0
2014,0,0,0,0.2079392,0.002393395,0.04887333,0.002143942,0.002955355,0.04677561,0.02663446,0.3205455,0.0002078354,0.002623805,0.4310869,0.01544336,0.2851907,1.25098,0,0.0004508168,0,0,0.03420458,0.0003035278,0,0,0,0,0,0
2015,0,0,0,0.2109786,0.002448655,0.04869749,0.00184843,0.003013001,0.04616631,0.02631933,0.3204241,0.000206736,0.002591855,0.4324745,0.01472157,0.2859515,1.252385,0,0.0004100843,0,0,0.03298246,0.0002890915,0,0,0,0,0,0
2016,0,0,0,0.2115837,0.002449402,0.04969281,0.002008058,0.00309616,0.04625194,0.02632847,0.3204346,0.0002049521,0.002567394,0.4338258,0.01414403,0.2865309,1.253364,0,0.0003776161,0,0,0.03201828,0.0002768714,0,0,0,0,0,0
2017,0,0,0,0.2106896,0.002421299,0.05219091,0.002554313,0.003184817,0.04682703,0.02654261,0.319756,0.0002034098,0.002549603,0.434872,0.01369154,0.2870215,1.254596,0,0.0003523441,0,0,0.03124224,0.0002666635,0,0,0,0,0,0
2018,0,0,0,0.2090859,0.002383251,0.05465158,0.003687803,0.003264519,0.04769489,0.02685945,0.3187806,0.0002018302,0.00253584,0.4354477,0.01333937,0.2873221,1.255758,0,0.0003328316,0,0,0.03058904,0.000257996,0,0,0,0,0,0
2019,0,0,0,0.2072464,0.002339227,0.05671433,0.004858483,0.003325974,0.04868165,0.02719607,0.3171568,0.0001998427,0.002524357,0.4355187,0.01306377,0.2874602,1.257156,0,0.000317729,0,0,0.03000326,0.0002503849,0,0,0,0,0,0
2020,0,0,0,0.2053625,0.002296516,0.05924061,0.005238032,0.003366184,0.04966913,0.02750266,0.3147078,0.0001976654,0.002514892,0.4353226,0.01283829,0.2874853,1.258918,0,0.0003059658,0,0,0.02945264,0.0002436025,0,0,0,0,0,0
2021,0,0,0,0.2036486,0.002260373,0.06140345,0.0051739,0.003388634,0.05060631,0.02776761,0.3116737,0.0001956894,0.002507755,0.4351736,0.01264111,0.2873714,1.260556,0,0.00029678,0,0,0.02892967,0.0002376354,0,0,0,0,0,0
2022,0,0,0,0.2022731,0.002233976,0.06205705,0.005122805,0.003399616,0.05148005,0.02799929,0.3086064,0.0001938751,0.002502492,0.4351743,0.01246176,0.2871118,1.261662,0,0.0002896147,0,0,0.0284364,0.0002324488,0,0,0,0,0,0
2023,0,0,0,0.201231,0.002215557,0.06169177,0.005078526,0.003404119,0.05228731,0.02820632,0.3058079,0.0001921894,0.002498541,0.4352879,0.01229549,0.2867925,1.262403,0,0.0002840521,0,0,0.0279745,0.00022796,0,0,0,0,0,0
2024,0,0,0,0.200443,0.002202119,0.06135978,0.004947838,0.003405311,0.05302958,0.02839442,0.3033403,0.0001907192,0.002495695,0.4354849,0.01213962,0.2864857,1.262952,0,0.0002797962,0,0,0.02754491,0.0002240991,0,0,0,0,0,0
2025,0,0,0,0.1998427,0.002191738,0.06114131,0.004771505,0.003405349,0.05371168,0.02856844,0.3012483,0.0001894931,0.00249378,0.4357479,0.01199384,0.2862086,1.26331,0,0.000276641,0,0,0.02714823,0.0002208078,0,0,0,0,0,0
2026,0,0,0,0.1993758,0.002183609,0.0606603,0.004634057,0.003405557,0.05433777,0.02873147,0.299567,0.0001884753,0.002492537,0.4360433,0.01185966,0.2859668,1.263494,0,0.0002744301,0,0,0.02678373,0.0002180182,0,0,0,0,0,0
2027,0,0,0,0.1989924,0.002176923,0.06011634,0.004526948,0.003406377,0.05490903,0.02888376,0.2982577,0.0001876267,0.002491765,0.4363362,0.01173832,0.2857713,1.263594,0,0.0002730312,0,0,0.02644916,0.000215657,0,0,0,0,0,0
2028,0,0,0,0.1986584,0.002171025,0.05981741,0.004419891,0.003407737,0.05542579,0.02902415,0.2972387,0.0001869289,0.002491378,0.4366109,0.01163009,0.285623,1.26366,0,0.0002723319,0,0,0.02614178,0.0002136606,0,0,0,0,0,0
2029,0,0,0,0.1983616,0.002165671,0.05966958,0.004340746,0.003409446,0.05588884,0.0291516,0.2964467,0.0001863569,0.002491301,0.4368612,0.01153475,0.2855107,1.263692,0,0.0002722342,0,0,0.02585884,0.0002119732,0,0,0,0,0,0
2030,0,0,0,0.1980938,0.002160663,0.05950445,0.004324824,0.003411224,0.05629862,0.02926491,0.2958323,0.0001858699,0.002491423,0.4370757,0.01145188,0.2854244,1.263701,0,0.0002726455,0,0,0.02559729,0.0002105386,0,0,0,0,0,0
2031,0,0,0,0.1978434,0.002155686,0.05940129,0.004352914,0.00341267,0.05665505,0.02936249,0.295334,0.0001854361,0.002491666,0.4372456,0.01138053,0.2853592,1.263717,0,0.0002734777,0,0,0.02535387,0.0002093039,0,0,0,0,0,0
2032,0,0,0,0.1976024,0.00215059,0.05944486,0.004390429,0.003413446,0.05695922,0.02944336,0.2948904,0.0001850432,0.002492008,0.4373752,0.01131922,0.2853082,1.263752,0,0.0002746497,0,0,0.02512572,0.0002082276,0,0,0,0,0,0
2033,0,0,0,0.1973707,0.002145532,0.05954006,0.004431228,0.003413428,0.05721446,0.02950782,0.2944672,0.0001846842,0.002492443,0.4374761,0.01126631,0.2852627,1.26379,0,0.0002760905,0,0,0.02491079,0.0002072794,0,0,0,0,0,0
2034,0,0,0,0.1971516,0.00214074,0.0595917,0.004474493,0.003412674,0.0574257,0.02955735,0.2940534,0.0001843512,0.002492954,0.4375588,0.01122025,0.2852174,1.263819,0,0.0002777376,0,0,0.02470767,0.0002064367,0,0,0,0,0,0
2035,0,0,0,0.1969475,0.002136379,0.05962324,0.00450488,0.003411344,0.05759884,0.02959404,0.2936452,0.0001840432,0.002493541,0.4376334,0.0111796,0.2851716,1.263836,0,0.0002795388,0,0,0.02451557,0.000205684,0,0,0,0,0,0
