EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:43:05"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT+75%
TimeSeries,"Katt_mints _baseline_BT+75"
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2005,0.00183036,0.04058789,0.02382131,0.4666225,0.1252051,0.3759016,0.1369617,0.2107787,1.082723,0.1783603,0.6788014,0.06518088,0.01151881,1.023433,0.2580038,8.721002,2.370441,15.07662,0.192943,80.61831,69.46124,1.84013,10.27941,42.94321,0.05800435,13.62369,9.843243,0.3452307,38.37618
2006,0.001975215,0.04063543,0.0231577,0.5932953,0.1768569,0.4763913,0.1826468,0.2371135,1.3775,0.2275655,0.8389073,0.07504488,0.01261797,0.9830195,0.4075237,8.724973,2.07687,12.86973,0.3067339,88.07296,66.00424,1.962058,10.76129,39.24139,0.05485481,6.681179,9.072131,0.2280624,27.77426
2007,0.002496889,0.04077179,0.02255511,0.6362401,0.1814298,0.5345466,0.2398563,0.296605,1.688281,0.258739,0.9876161,0.05748403,0.01190412,0.9844866,0.5694706,8.213881,2.084935,15.65417,0.5138269,99.60839,91.98328,2.128,12.09032,46.88977,0.04287179,35.39613,5.197515,0.8729455,73.2181
2008,0.003732528,0.04087595,0.02819782,0.7290772,0.2376002,0.6579791,0.4354016,0.4496025,2.23788,0.3195542,1.083367,0.09392255,0.01535871,1.088427,0.6891347,8.613027,1.940751,9.572132,0.8804743,113.7307,108.173,2.478148,14.85609,50.14287,0.03226526,9.794225,5.756979,0.1209025,23.70568
2009,0.005778177,0.04105471,0.02819782,0.753087,0.2152654,0.7173845,0.4008931,0.3034306,2.619416,0.3500521,1.002243,0.07350472,0.01197642,0.6861771,0.304448,6.534431,1.230925,10.30145,0.4757511,106.7818,43.22209,2.458795,13.72722,27.17834,0.01618618,4.465744,6.544515,0.2972092,28.26855
2010,0.006985645,0.0410907,0.02819782,0.555849,0.1331488,0.5402296,0.2472733,0.2129032,2.480179,0.2951383,0.80387,0.04487337,0.01006057,0.7198921,0.2527937,6.605349,1.584515,11.08523,0.4244836,99.64274,44.03546,2.296766,12.82528,25.18934,0.01506619,9.896541,6.632626,0.3069904,31.95721
2011,0.006827301,0.04097586,0.02819782,0.4804763,0.1008354,0.4068549,0.2088159,0.1896922,2.29863,0.2633389,0.6821115,0.05887543,0.01044262,0.7144485,0.2298385,6.976569,1.663441,11.0615,0.3832094,93.95184,45.67993,2.145195,12.18531,24.08477,0.01539231,9.680348,6.657096,0.3063076,31.7571
2012,0.006176745,0.04085215,0.02819782,0.4642238,0.0992477,0.3429276,0.1867799,0.1785129,2.145125,0.2445613,0.6599873,0.05838612,0.01025427,0.7083102,0.2172033,6.915819,1.648047,11.06572,0.3471633,90.04974,47.57396,2.015846,11.6287,23.83432,0.01631498,9.625551,6.666317,0.3062301,31.74621
2013,0.005254229,0.04075054,0.02819782,0.4617676,0.1183141,0.3619173,0.1333055,0.1744169,2.03417,0.2325517,0.6590405,0.053822,0.01003032,0.7073438,0.2054575,6.859381,1.646097,11.05649,0.3128941,87.75542,49.66356,1.908821,11.08046,24.15829,0.01734519,9.559474,6.664533,0.3061318,31.71716
2014,0.004278122,0.04068397,0.02819782,0.454729,0.1285167,0.3688833,0.09297403,0.1747789,1.963454,0.2236647,0.6242272,0.05412893,0.009665224,0.6848996,0.1929427,6.870958,1.605551,11.03922,0.2816973,86.80661,51.79691,1.819493,10.57072,24.78862,0.01828353,9.490689,6.656002,0.3060397,31.6807
