EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"08/05/2020 07:58:32"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus25"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2001,0,0,0,0,0,0.007521986,0.0004319987,0.0001381739,0,0.004120576,0.01084875,0.007402981,0.01151458,0.04039168,0.001667712,0.07215232,0.001560886,0.1121297,0.03656854,0.09251966,0.003953781,0.05247134,0.4299053,0.03683762,0.01525801,0.02523022,0.005913833,0.02357247,0.8797874,0.4105302,0.3824717,0.08893063,1.00751,0.4155479,0.1107295,0.001352521,0.04805519,0.03650329,0.008442124,0.01180668,0.00621371,0.00158637,0.0007335501,0,0.004200977,0.007855591,0.1620011,0.009253473,0.001022069,0,0,0,0,0.01289656,0.01779659,0.005917424,0,0.1301804,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0.009995521,0.0005102781,0.0001911117,0,0.004561789,0.01312343,0.008922554,0.0181211,0.03206817,0.002057791,0.05415435,0.0006259146,0.07733992,0.04887152,0.1111549,0.004055475,0.04472288,0.4975701,0.04443246,0.02183143,0.0312064,0.005877841,0.02715059,0.9001877,0.2774491,0.3663841,0.07718798,0.7833002,0.4359017,0.1258304,0.001767901,0.04815787,0.03512802,0.009541093,0.01440527,0.006165955,0.00180205,0.0008470019,0,0.005255779,0.009070185,0.1637201,0.008490477,0.001019452,0,0,0,0,0.01647263,0.02306498,0.007709704,0,0.2125425,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0.01354006,0.0005445845,0.0003514871,0,0.003947235,0.01252626,0.008977686,0.01430843,0.03228464,0.001078259,0.04310403,0.0006565368,0.05628913,0.03337767,0.1179263,0.003581528,0.03838186,0.3906123,0.02950126,0.03138629,0.02337215,0.005378474,0.02034679,1.09816,0.156689,0.3445624,0.07060327,0.7795,0.452592,0.1452095,0.002043013,0.04715155,0.03417154,0.007365873,0.01240625,0.005065288,0.0009756758,0.0005385791,0,0.003308545,0.00806397,0.15353,0.008127938,0.001019711,0,0,0,0,0.01942164,0.02675237,0.01088405,0,0.2829471,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0.0138589,0.0005062546,0.000339582,0,0.003317661,0.01213523,0.00864944,0.01016232,0.0314715,0.0004340597,0.03409333,0.001291266,0.06710915,0.0276769,0.1070229,0.003206667,0.03423486,0.3617529,0.02763346,0.03178867,0.02324997,0.005284315,0.01586823,1.370815,0.1833749,0.3093542,0.0529155,0.9002261,0.4463131,0.1448331,0.002091353,0.04690246,0.03352318,0.006806663,0.01181853,0.00438659,0.0007607755,0.0004603722,0,0.003033195,0.007543616,0.1568082,0.007970764,0.001027036,0,0,0,0,0.0198921,0.02685813,0.01206201,0,0.2363809,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0.01245483,0.0004593068,0.0002627739,0,0.002660883,0.01161952,0.007830468,0.00595521,0.02747017,0.0002394375,0.02811618,0.001500608,0.1020302,0.02390186,0.1131672,0.003215891,0.02908126,0.001785876,0.03004139,0.02505519,0.02592894,0.005289681,0.01250289,1.488398,0.0750655,0.2673,0.05657822,1.047397,0.4266396,0.1312833,0.001924342,0.04665208,0.0335998,0.006648514,0.01110054,0.004260296,0.0007426345,0.0004495671,0,0.003374088,0.007005609,0.1619772,0.005947087,0.0009756061,0,0,0,0,0.01998751,0.02418698,0.01620537,0,0.2555177,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0.01343397,0.0004829285,0.0002528402,0,0.002390557,0.01187038,0.007895854,0.002934918,0.02203386,0.0003000028,0.0310779,0.001331,0.1830528,0.02049774,0.1230008,0.002541654,0.02297193,0.5613861,0.03278782,0.02150023,0.03003646,0.005032715,0.01022158,1.369118,0.08948594,0.2635584,0.0481789,1.010134,0.4140482,0.1238874,0.001981672,0.04298796,0.03504929,0.006519894,0.01136573,0.003967456,0.0007625986,0.0004610602,0,0.003766016,0.006923929,0.1572184,0.004995362,0.0008087276,0,0,0,0,0.0269177,0.02434509,0.00936246,0,0.2640184,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0.01374793,0.0004861589,0.0002458122,0,0.002249695,0.01166833,0.007504168,0.001667448,0.01700551,0.0003790185,0.02833738,0.0008710197,0.1604459,0.01422767,0.1207041,0.002002473,0.01830965,0.07061527,0.03123273,0.01976588,0.02989205,0.004657979,0.008852437,1.22584,0.1022608,0.2881863,0.03822898,0.5023449,0.418164,0.1194316,0.001938118,0.04107384,0.0382161,0.006072973,0.01081691,0.004539366,0.0006692365,0.0004154278,0,0.003633046,0.006495864,0.1432355,0.003200001,0.0007097549,0,0,0,0,0.02692611,0.02348693,0.01085817,0,0.1717862,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0.0153082,0.0004745729,0.000288661,0,0.00222924,0.01117029,0.007241534,0.002914164,0.01337804,0.0005562622,0.02679877,0.0007366389,0.1048568,0.01310056,0.1340318,0.001535994,0.01288535,0.1131566,0.0345471,0.02075486,0.03236175,0.003741665,0.006394843,0.7651885,0.0512598,0.2712179,0.04520712,0.6564556,0.4323949,0.1112762,0.001878165,0.03120311,0.04308925,0.005701032,0.01089163,0.005132405,0.0007196497,0.0004393602,0,0.004227281,0.005893501,0.1198679,0.003691064,0.0005149104,0,0,0,0,0.02522501,0.02193852,0.009379675,0,0.2087841,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0.01778085,0.0004991686,0.0003485199,0,0.002208957,0.0108456,0.006866976,0.00878852,0.01222736,0.0009270831,0.02855088,0.0006143351,0.08987635,0.01313535,0.1258375,0.00120538,0.006752348,0.1622999,0.03449897,0.0258845,0.03393949,0.003539691,0.006648224,0.4420271,0.05136647,0.2369701,0.05888972,0.5478016,0.4481262,0.1186703,0.001789725,0.0317664,0.04932437,0.005641712,0.01058061,0.006722584,0.0006919131,0.0004276918,0,0.004416015,0.005770726,0.1132801,0.003705597,0.0004798525,0,0,0,0,0.02657183,0.0206125,0.01084397,0,0.2174735,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0.01530494,0.000462386,0.0002722973,0,0.00191595,0.00962654,0.00599114,0.01350765,0.01802968,0.0008610709,0.03043438,0.0004270803,0.09770653,0.0129638,0.1081562,0.0009110232,0.003892445,0.1688959,0.03032723,0.02040002,0.03154131,0.003119633,0.005791638,0.449678,0.03879356,0.2163144,0.06415074,0.3492456,0.4697732,0.1042848,0.001560152,0.03082487,0.05613142,0.00515516,0.009478136,0.006787963,0.0005953831,0.0003776221,0,0.004164339,0.005014304,0.09693778,0.003583298,0.0004312343,0,0,0,0,0.02869471,0.01806701,0.01210346,0,0.2439278,0,0,0,0,0,0,0,0,0,0,0
