EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"08/05/2020 07:58:28"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus25"
StartYear,1991

Data,Biomass

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2001,0.07019237,0.01701964,0.008804094,0.001905724,0.001151602,0.1769745,0.001516061,0.002125169,0.2863476,0.1900683,0.09651241,0.07145903,0.02150889,0.04121601,0.01014399,0.1934379,0.005837535,0.1875772,0.1253732,0.2441152,0.01314276,0.113329,1.580534,0.1397799,0.3626669,0.09284174,0.2167352,0.2417557,5.440862,0.3086694,1.053641,0.7263141,1.503746,0.7463839,3.222636,0.5258531,0.3090552,0.05845858,0.152872,0.100481,0.008889157,0.03461619,0.03786743,0.0563872,0.0242407,0.03356398,0.5442557,0.02915028,0.04532072,0.3412038,2.539567,15.38605,0.05420146,1.26672,0.9967964,80.70779,143.4811,0.1072901,31.1795,156.9736,110.3499,4.021494,0.1090626,1.516069,0.004636118,8.011956,25.82688,25.95103,6.233786E-07
2002,0.07039293,0.01697924,0.008823811,0.001859091,0.0012017,0.1897541,0.001465259,0.002204018,0.2713959,0.1780201,0.0983801,0.06992724,0.02867821,0.03485671,0.01041043,0.1955031,0.001954812,0.2082704,0.1436438,0.2678431,0.0124944,0.09475186,1.485284,0.1454674,0.3587426,0.09949864,0.2058876,0.206072,5.957563,0.1937494,0.9491817,0.6922881,1.486338,0.8119562,3.288944,0.5491235,0.3157739,0.05751431,0.1543978,0.1014363,0.008068904,0.03381927,0.03743476,0.05877534,0.02609116,0.03222017,0.5217129,0.0286637,0.04497154,0.3510483,2.546559,15.56895,0.05391465,1.277092,1.002474,81.45007,145.2675,0.09978052,31.42722,158.4884,111.5902,4.020308,0.1094296,1.522401,0.004516518,8.041551,25.91932,26.0475,7.245887E-07
2003,0.07058589,0.01694412,0.008866308,0.001837753,0.001229008,0.1986313,0.001360625,0.002156674,0.2663791,0.1602386,0.09714148,0.06759107,0.02914796,0.03547762,0.005718302,0.1977249,0.002733798,0.2424752,0.1643858,0.2755287,0.01117046,0.07676371,1.457509,0.1567786,0.35498,0.1091077,0.2005299,0.1612567,6.172907,0.1518304,0.861406,0.6637235,1.668272,0.8877464,3.340929,0.5653441,0.3212771,0.05763263,0.1567054,0.1026122,0.007180741,0.0320517,0.03710236,0.05999408,0.0285525,0.0305509,0.5242928,0.02834966,0.04594496,0.3571157,2.549078,15.60598,0.0530851,1.298128,1.007866,82.24058,146.394,0.08909614,31.47615,159.0184,112.6894,4.014143,0.1096536,1.524201,0.004472593,8.069867,25.98585,26.11054,7.79766E-07
2004,0.07079773,0.0169299,0.008961753,0.001834325,0.001254395,0.2054763,0.001264567,0.002063387,0.2746291,0.1394701,0.09734731,0.06635908,0.02271761,0.03659476,0.002389631,0.187326,0.005970975,0.2889098,0.1648918,0.290035,0.009760304,0.06375206,1.526384,0.175198,0.3575414,0.1240984,0.20375,0.1244137,6.169282,0.1017054,0.8249447,0.6520501,1.866721,0.9912512,3.383986,0.5812877,0.3274083,0.05939612,0.1593363,0.1045917,0.007033747,0.03081036,0.03720767,0.06130158,0.03216488,0.02962698,0.5551807,0.02857458,0.04728808,0.3566595,2.513767,15.49991,0.05300766,1.322314,1.011447,82.901,147.002,0.1040111,31.48036,159.1226,113.6598,4.030011,0.1099386,1.527856,0.004521759,8.107442,26.04708,26.17571,7.78984E-07
2005,0.07103478,0.0169285,0.009111406,0.001836062,0.001300462,0.2146337,0.001229759,0.002046097,0.2902538,0.120709,0.1007278,0.06700637,0.01398514,0.03433771,0.00144161,0.1724919,0.007353194,0.3433363,0.1450476,0.3066863,0.008375626,0.0577009,1.785876,0.1923539,0.3662513,0.140062,0.2129942,0.1154974,6.201658,0.08080248,0.8485715,0.6544943,1.890608,1.148889,3.42973,0.6009523,0.3354107,0.06354932,0.1611453,0.1065944,0.007676099,0.03023555,0.03761508,0.06275397,0.03588706,0.02941509,0.5912883,0.02927011,0.04658054,0.3487487,2.397794,15.0619,0.05241938,1.337499,1.011416,83.35069,147.2616,0.1025681,31.46126,159.1421,114.5372,4.048275,0.1101535,1.531524,0.004622438,8.160608,26.08079,26.22939,7.476801E-07
2006,0.07125676,0.01692601,0.009289707,0.00183653,0.001348524,0.2281135,0.001239217,0.002070426,0.2931915,0.1095691,0.1038344,0.0675615,0.006729655,0.0297755,0.001812666,0.1601953,0.006443823,0.3671599,0.1226402,0.3203145,0.007466304,0.05004779,1.738037,0.2043685,0.3671945,0.155209,0.2181426,0.1095952,6.412731,0.08966526,0.8903999,0.6602519,1.660722,1.36455,3.470152,0.6172462,0.3443036,0.07051035,0.1622299,0.1082567,0.009258131,0.03051821,0.03801119,0.06230689,0.03920797,0.02897294,0.5956583,0.02791727,0.04249657,0.3305381,2.200067,14.28237,0.04808396,1.333786,1.005556,83.6404,147.5984,0.09957697,31.52004,159.5481,115.4373,4.083542,0.1105734,1.540866,0.004687334,8.255656,26.13154,26.32627,7.583126E-07
2007,0.0714388,0.01689639,0.009472026,0.001838888,0.001399173,0.2448932,0.001266972,0.00209905,0.2837222,0.108229,0.1070448,0.06757919,0.004112432,0.02464566,0.002418513,0.1507308,0.0045369,0.3809378,0.0951033,0.3271113,0.00692997,0.03997739,1.681316,0.2144531,0.3613381,0.1691938,0.214139,0.1076555,6.608303,0.07242268,0.8894637,0.6512935,1.560078,1.62958,3.504929,0.6308011,0.3501112,0.08031969,0.1633384,0.1098802,0.01132774,0.03010009,0.03797003,0.06241129,0.04241088,0.02832469,0.5735759,0.02700693,0.03950721,0.3114533,2.02317,13.35999,0.04421845,1.322464,0.9976973,83.90139,148.1306,0.1150149,31.59576,160.0468,116.3744,4.080677,0.1105852,1.543446,0.004699968,8.314204,26.09902,26.34468,7.885492E-07
2008,0.07160936,0.0168588,0.009673816,0.001843619,0.001454075,0.2619574,0.001326985,0.002107921,0.2785303,0.1159182,0.1105412,0.06812025,0.007271965,0.02026975,0.003729167,0.1456455,0.003778152,0.42512,0.08072361,0.3183654,0.006690358,0.03197356,1.714495,0.2230875,0.3515843,0.1826828,0.2115026,0.1082452,6.573784,0.06051925,0.8555771,0.6343337,1.444347,1.925088,3.540478,0.6420292,0.3587728,0.0927588,0.1645852,0.1113522,0.01376958,0.02955246,0.03783689,0.06293697,0.0453543,0.0277958,0.5724122,0.02498495,0.03735081,0.2898104,1.880891,12.49994,0.04033939,1.312237,0.9917951,84.11892,148.1467,0.1088949,31.51419,159.8494,117.133,4.061726,0.1103007,1.539472,0.004718541,8.329246,26.00345,26.28894,7.734313E-07
2009,0.07168358,0.01680818,0.009879782,0.001843566,0.001471306,0.2736919,0.001393758,0.002053587,0.2627665,0.1198923,0.1121327,0.06782836,0.02248807,0.0185263,0.006488228,0.1327948,0.003258798,0.4576222,0.08169018,0.2866458,0.006619935,0.02617189,1.656122,0.2228072,0.3410387,0.1930712,0.2037591,0.1040448,6.52246,0.06218701,0.8060207,0.5985122,1.231015,2.226079,3.567614,0.6462868,0.3660829,0.1075073,0.1655725,0.1126466,0.01560782,0.02868964,0.03745071,0.06199465,0.04779189,0.02717714,0.5443193,0.02311195,0.0351564,0.2732059,1.766607,11.6478,0.03573199,1.300864,0.9887115,84.12017,147.1644,0.1053243,31.20897,158.7179,117.4459,4.012721,0.1094192,1.524335,0.004668462,8.288386,25.80386,26.11383,8.462396E-07
2010,0.07164602,0.01674435,0.01007388,0.0018395,0.001452279,0.2811904,0.001472399,0.002006317,0.2414107,0.1168726,0.1120003,0.06697006,0.03897902,0.03108566,0.006787736,0.123717,0.002554225,0.4553472,0.08981385,0.2521123,0.006575806,0.02186767,1.549504,0.2181806,0.3319793,0.2012119,0.1921594,0.09558534,6.248131,0.0657518,0.7510918,0.5436223,1.100853,2.509464,3.582416,0.6402444,0.3680686,0.1240035,0.1660766,0.1139406,0.0166083,0.02742587,0.03683619,0.06037013,0.05014218,0.02650733,0.5058669,0.02082682,0.03319076,0.2580092,1.671959,10.87403,0.03138917,1.287867,0.9902852,83.78436,145.3732,0.0971727,30.81196,156.9609,117.2291,3.980704,0.1085619,1.509467,0.004566082,8.239873,25.59803,25.92619,8.359441E-07
2011,0.07151578,0.01667144,0.01026398,0.001819898,0.001405759,0.2835799,0.001554918,0.001974293,0.2242926,0.1092372,0.1115027,0.06614982,0.03810756,0.05743034,0.004953542,0.1205922,0.001557115,0.4142636,0.09822118,0.2297409,0.006409908,0.01928874,1.472033,0.2112659,0.3274807,0.2063593,0.1812264,0.09181308,5.763295,0.06822317,0.6990225,0.4836295,1.064348,2.752048,3.578974,0.6276303,0.3682777,0.142416,0.1660282,0.1149013,0.01756352,0.0259863,0.03610203,0.05899864,0.05250408,0.02606531,0.4872304,0.01917307,0.03256607,0.2478404,1.648956,10.3821,0.02829609,1.271628,0.9965224,83.10478,143.162,0.1003624,30.41438,154.9665,116.5468,3.942451,0.1075234,1.491297,0.004427682,8.149619,25.36009,25.69086,7.895278E-07
