EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:48:53"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT-50%
TimeSeries,Katt_mints_baseline_BT-50
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2003,0.002953775,0.04079441,0.0186421,0.4497521,0.1096009,0.3247644,0.1285306,0.1129336,0.8370228,0.1584254,0.7599318,0.05460127,0.008476306,0.6211703,0.09456979,6.667767,1.452282,10.67836,0.08436201,60.90674,33.02654,1.778383,9.367356,25.79642,0.03560509,9.545442,6.02103,0.3633632,34.09879
2004,0.002194048,0.04066933,0.01919129,0.3979044,0.1061085,0.3101895,0.1192113,0.1478993,0.8948423,0.1496997,0.6501752,0.04201887,0.008737413,0.795636,0.1231495,7.021992,1.936847,14.69544,0.09578016,69.37591,50.28376,1.717517,9.356936,34.3066,0.03850358,17.91487,8.734131,0.4550352,44.87372
2005,0.00183036,0.04058789,0.02382131,0.4666225,0.1252051,0.3759016,0.1369617,0.2107787,1.082723,0.1783603,0.6788014,0.06518088,0.01151881,1.023433,0.2580037,8.721002,2.370441,15.07662,0.1929429,80.61831,69.46124,1.84013,10.27941,42.94321,0.05800433,13.62369,9.843243,0.3452307,38.37618
2006,0.001975215,0.04063543,0.0231577,0.5932953,0.1768569,0.4763913,0.1826468,0.2371135,1.3775,0.2275655,0.8389073,0.07504488,0.01261797,0.9830195,0.4075237,8.724975,2.07687,12.86973,0.3067338,88.07296,66.00424,1.962058,10.76129,39.24139,0.05485481,6.681179,9.072132,0.2280624,27.77426
2007,0.002496889,0.04077179,0.02255511,0.6362401,0.1814298,0.5345466,0.2398563,0.296605,1.688281,0.258739,0.9876161,0.05748404,0.01190412,0.9844866,0.5694706,8.213881,2.084935,15.65417,0.513827,99.60839,91.98328,2.128,12.09032,46.88977,0.0428718,35.39613,5.197515,0.8729455,73.2181
2008,0.003732527,0.04087595,0.02819782,0.7290772,0.2376002,0.6579791,0.4354016,0.4496025,2.23788,0.3195542,1.083367,0.09392255,0.01535871,1.088427,0.6891346,8.613027,1.940751,9.572132,0.8804744,113.7307,108.173,2.478148,14.85609,50.14287,0.03226527,9.794225,5.756979,0.1209025,23.70568
2009,0.005852957,0.04108083,0.02819782,0.8573987,0.2163649,0.7444403,0.4032188,0.3047031,2.636955,0.3622185,1.188862,0.07117826,0.01299644,0.7871215,0.3112441,6.566625,1.365914,10.30161,0.4757921,106.7922,43.21865,2.477334,13.68614,27.18298,0.01609999,4.46633,6.544441,0.297208,28.27087
2010,0.007537448,0.04122039,0.02819782,0.7196288,0.1378818,0.5832573,0.2508115,0.2149135,2.515385,0.3180963,1.200824,0.03910751,0.01174506,0.8604857,0.2631342,6.589842,1.779259,11.0863,0.4237803,99.80713,44.021,2.342563,12.52514,25.25125,0.01462665,9.898449,6.631819,0.3069989,31.96158
2011,0.008101082,0.04118671,0.02819782,0.6312444,0.1079099,0.4429846,0.2134075,0.1916818,2.343249,0.2895283,1.143493,0.05074561,0.01197612,0.847061,0.2373425,7.021495,1.88578,11.05974,0.3808001,94.54125,45.65169,2.209765,11.49231,24.28631,0.01447073,9.682896,6.654146,0.3063295,31.75999
2012,0.007941931,0.04110528,0.02819782,0.5932221,0.09414148,0.3745189,0.1929574,0.1799689,2.200861,0.27141,1.094564,0.05494742,0.01174219,0.8411438,0.2239018,7.214651,1.927111,11.06,0.3453993,91.21685,47.5556,2.094086,10.64761,24.20014,0.01491544,9.626987,6.660441,0.3062564,31.74559
2013,0.007238051,0.04103806,0.02819782,0.5735037,0.09878107,0.3810499,0.1426095,0.1751944,2.104416,0.2599291,1.06741,0.05457138,0.01158612,0.8409128,0.2146261,7.24161,1.932258,11.04812,0.3146602,89.51479,49.65672,1.998043,9.934148,24.66302,0.01554168,9.559671,6.656072,0.3061582,31.71322
2014,0.006300424,0.04100458,0.02819782,0.562957,0.1124396,0.3851761,0.1006476,0.1750773,2.053345,0.2538584,1.053585,0.0533702,0.01144063,0.8431612,0.2056692,7.229169,1.930268,11.02937,0.2872353,89.13303,51.7787,1.921495,9.303818,25.409,0.01612378,9.490711,6.645507,0.3060676,31.67484
2015,0.005538556,0.04099816,0.02819782,0.5591044,0.1199217,0.382013,0.08443985,0.1780072,2.040681,0.2519359,1.050692,0.05217682,0.01131509,0.8464051,0.1969422,7.227023,1.929624,11.00956,0.2637416,89.72598,53.66972,1.86172,8.743441,26.17244,0.0165399,9.429894,6.63353,0.3059908,31.63918
2016,0.005003558,0.04100132,0.02819782,0.5563149,0.1223789,0.3926661,0.08578689,0.1824941,2.057555,0.2529093,1.045273,0.05145258,0.01122584,0.8495405,0.1891968,7.236409,1.931643,10.9922,0.2448337,90.96069,55.20344,1.815051,8.258916,26.8229,0.01675877,9.381104,6.622808,0.3059285,31.60999
2017,0.004645767,0.04100405,0.02819782,0.553754,0.1220556,0.415537,0.1026391,0.1873791,2.095124,0.2556998,1.036057,0.05071264,0.01116414,0.8520765,0.1827031,7.24654,1.93426,10.9787,0.2302523,92.55338,56.3282,1.777874,7.847546,27.30425,0.0168028,9.345876,6.614435,0.3058837,31.58885
2018,0.004469816,0.04100361,0.02819782,0.5510746,0.120607,0.4369763,0.1488796,0.1918412,2.144889,0.2593955,1.028461,0.05012986,0.01111859,0.8536835,0.1774301,7.25247,1.936807,10.96986,0.2193188,94.26527,57.00895,1.746792,7.497166,27.57648,0.01671754,9.325524,6.609045,0.3058611,31.5771
2019,0.00452327,0.04100075,0.02819782,0.5481161,0.1185328,0.4548167,0.2071501,0.1953075,2.198996,0.2632192,1.020021,0.04948706,0.01108078,0.8542021,0.1731621,7.254774,1.939728,10.96561,0.2112391,95.92328,57.27464,1.718741,7.190458,27.65061,0.01655622,9.318725,6.606722,0.3058562,31.5737
2020,0.004761808,0.04099528,0.02819782,0.5445211,0.1161394,0.4753914,0.2341121,0.1975035,2.251775,0.2666602,1.009609,0.0488234,0.0110491,0.854012,0.1695879,7.255308,1.943543,10.96417,0.2053586,97.44931,57.27532,1.691773,6.917574,27.6282,0.0163696,9.319657,6.606293,0.3058573,31.57428
2021,0.005026052,0.04098685,0.02819782,0.5404522,0.1138612,0.4942049,0.233373,0.1985454,2.30075,0.2695815,0.9975443,0.04824707,0.01102658,0.853799,0.1663906,7.253978,1.947589,10.9633,0.2012016,98.83707,57.1763,1.665424,6.676413,27.6155,0.01619236,9.322743,6.606125,0.3058591,31.57506
2022,0.005221098,0.04097599,0.02819782,0.5366948,0.1120381,0.4996125,0.2301432,0.1988296,2.345603,0.2720931,0.9855974,0.04774557,0.0110126,0.8538973,0.1634225,7.249399,1.950594,10.96205,0.1984243,100.1003,57.05432,1.639974,6.465391,27.64173,0.01603598,9.326027,6.605499,0.3058622,31.57513
2023,0.005340645,0.04096269,0.02819782,0.5338668,0.1107701,0.4936756,0.2276061,0.1987309,2.386595,0.2743239,0.9750167,0.04728268,0.01100409,0.8542733,0.1606367,7.242596,1.952519,10.96044,0.1967557,101.2508,56.93123,1.615724,6.280808,27.69792,0.01589814,9.329131,6.604449,0.3058664,31.57463
2024,0.005384225,0.04094762,0.02819782,0.532284,0.1098744,0.4862987,0.2211762,0.1984902,2.424095,0.276358,0.9659919,0.0468684,0.01099978,0.8548638,0.1580105,7.235685,1.953832,10.95852,0.1959992,102.3016,56.82253,1.592888,6.119207,27.77891,0.01577412,9.331611,6.603065,0.3058701,31.57345
2025,0.005347109,0.04093217,0.02819782,0.5315996,0.1092433,0.4814763,0.2107097,0.1982628,2.458578,0.2782618,0.9585561,0.04654397,0.01099924,0.8556383,0.1555512,7.229546,1.954644,10.95631,0.196025,103.2655,56.73837,1.571642,5.978007,27.88053,0.01565954,9.333199,6.601397,0.3058728,31.57162
2026,0.005246941,0.0409178,0.02819782,0.5312987,0.1087992,0.4761004,0.2007514,0.1981465,2.490463,0.2800829,0.9531713,0.04628475,0.0110009,0.8565367,0.1532836,7.224008,1.954667,10.95398,0.1967409,104.1518,56.67538,1.552072,5.854432,27.99168,0.01555028,9.334136,6.599579,0.3058752,31.56949
2027,0.005117706,0.04090542,0.02819782,0.5309127,0.108438,0.4702208,0.1930555,0.1981708,2.519954,0.2818319,0.9501092,0.04597431,0.01100254,0.8574736,0.1512151,7.219589,1.954021,10.95176,0.198076,104.9643,56.6232,1.534133,5.745266,28.09985,0.01544375,9.334844,6.59779,0.3058777,31.56744
2028,0.004983123,0.04089526,0.02819782,0.5301847,0.1080754,0.4667164,0.1865127,0.1983097,2.5471,0.2834919,0.9485791,0.04566043,0.01100471,0.8583892,0.1493395,7.217535,1.95341,10.94978,0.1999738,105.7056,56.57498,1.517695,5.647993,28.1985,0.0153398,9.335543,6.596145,0.3058803,31.56564
2029,0.004854781,0.0408871,0.02819782,0.5292053,0.1076787,0.4658115,0.1815643,0.1985192,2.571912,0.2850411,0.9476874,0.04540506,0.01100873,0.8592551,0.1476562,7.217496,1.953011,10.94811,0.2023858,106.3773,56.52582,1.502596,5.560861,28.28417,0.0152398,9.336394,6.5947,0.3058831,31.56422
2030,0.004744312,0.04088058,0.02819782,0.5281463,0.1072594,0.4655643,0.1803931,0.1987537,2.594363,0.2864571,0.9470925,0.04519105,0.01101433,0.8600404,0.1461617,7.218124,1.952594,10.94682,0.2052604,106.9795,56.46803,1.488649,5.482269,28.35191,0.01514553,9.337689,6.593513,0.305887,31.56336
2031,0.004664056,0.04087525,0.02819782,0.5270529,0.1068201,0.4655957,0.1831979,0.198964,2.614359,0.287712,0.9467077,0.04497659,0.01102054,0.8607121,0.1448354,7.218768,1.952096,10.946,0.2085373,107.5111,56.39438,1.475628,5.410526,28.39796,0.01505898,9.339665,6.59265,0.305892,31.56322
2032,0.004618115,0.04087067,0.02819782,0.5259132,0.1063491,0.4668218,0.1876708,0.1991042,2.631824,0.2887808,0.9463491,0.04475476,0.01102706,0.8612662,0.1436419,7.219547,1.951662,10.94562,0.212153,107.973,56.30445,1.463317,5.344172,28.4244,0.01498238,9.342282,6.5921,0.3058979,31.56369
2033,0.004600904,0.04086643,0.02819782,0.5247579,0.1058533,0.4689153,0.1919739,0.1991489,2.646817,0.289656,0.9457905,0.04454244,0.01103421,0.8617336,0.142545,7.220497,1.951366,10.94556,0.216047,108.3704,56.20411,1.451559,5.282235,28.4379,0.01491757,9.345291,6.591778,0.3059042,31.56454
2034,0.004603656,0.04086228,0.02819782,0.5236539,0.1053611,0.4705339,0.1956297,0.1990987,2.659552,0.2903511,0.9449415,0.0443466,0.01104221,0.8621571,0.1415151,7.221352,1.951139,10.94568,0.2201648,108.711,56.10089,1.440269,5.224131,28.44544,0.01486525,9.348409,6.591583,0.3059106,31.56555
2035,0.004617661,0.04085808,0.02819782,0.5226498,0.1049026,0.4712045,0.1981059,0.1989732,2.670348,0.2908947,0.9438648,0.04416289,0.01105103,0.8625739,0.1405282,7.22192,1.950901,10.94586,0.2244578,109.0041,56.00208,1.429422,5.16951,28.45303,0.01482492,9.351375,6.591422,0.3059165,31.56649
2036,0.004633443,0.04085377,0.02819782,0.5217667,0.1044987,0.4712952,0.1988003,0.1988019,2.679585,0.2913237,0.9426591,0.04399078,0.01106066,0.8630168,0.1395648,7.222246,1.950626,10.94598,0.2288862,109.2598,55.91443,1.419042,5.118222,28.46572,0.01479515,9.353951,6.591218,0.3059219,31.56718
2037,0.004642546,0.04084945,0.02819782,0.5210205,0.1041615,0.4709432,0.1979397,0.1986188,2.687659,0.2916781,0.9414151,0.04383482,0.01107119,0.863508,0.138614,7.222434,1.950299,10.94597,0.2334204,109.4876,55.84232,1.409184,5.07024,28.48622,0.01477383,9.355992,6.590918,0.3059263,31.56754
2038,0.004640971,0.04084519,0.02819782,0.5204163,0.1038932,0.4700454,0.1963574,0.1984549,2.694916,0.2919938,0.9402246,0.0436966,0.01108255,0.864051,0.1376738,7.222556,1.949898,10.94582,0.2380388,109.6949,55.78638,1.399902,5.02554,28.51413,0.01475852,9.357501,6.590514,0.3059299,31.56759
2039,0.004629165,0.04084118,0.02819782,0.5199361,0.1036846,0.4688747,0.194598,0.1983304,2.701612,0.2922955,0.939164,0.04357309,0.01109457,0.8646343,0.1367479,7.22268,1.949418,10.94557,0.2427257,109.8868,55.74447,1.391233,4.984013,28.54716,0.01474694,9.358566,6.590033,0.305933,31.56741
2040,0.004609489,0.04083753,0.02819782,0.5195432,0.1035193,0.467896,0.1928731,0.1982529,2.707901,0.2925965,0.9382688,0.04346091,0.01110708,0.8652408,0.1358407,7.222896,1.948879,10.94527,0.2474694,110.066,55.71343,1.383186,4.945484,28.58267,0.01473732,9.3593,6.589509,0.3059355,31.56707
2041,0.004584991,0.0408343,0.02819782,0.5192012,0.103381,0.4672589,0.1914845,0.1982198,2.713857,0.2929004,0.9375365,0.04335821,0.01111992,0.865854,0.1349568,7.223256,1.948305,10.94495,0.2522593,110.2337,55.6897,1.375743,4.909736,28.61811,0.01472853,9.359827,6.58898,0.3059377,31.56667
2042,0.004559431,0.04083151,0.02819782,0.5188822,0.1032558,0.4668621,0.190777,0.1982221,2.719493,0.293204,0.9369405,0.04326324,0.01113299,0.8664579,0.1340998,7.22377,1.947715,10.94467,0.2570851,110.3901,55.66963,1.368867,4.876507,28.65112,0.01472005,9.360275,6.588479,0.3059397,31.56631
2043,0.004536435,0.04082914,0.02819782,0.5185664,0.1031329,0.4667056,0.1907832,0.1982465,2.72478,0.2934995,0.9364412,0.04317379,0.01114615,0.8670399,0.1332713,7.224417,1.947128,10.94446,0.261934,110.5344,55.65014,1.362504,4.84551,28.68004,0.0147118,9.360747,6.588031,0.3059418,31.56606
2044,0.004518228,0.04082711,0.02819782,0.5182425,0.1030059,0.4668348,0.1912715,0.1982786,2.729673,0.2937779,0.9359935,0.04308823,0.01115932,0.8675929,0.1324701,7.225161,1.946558,10.94434,0.2667913,110.6658,55.62952,1.356593,4.816469,28.7044,0.01470408,9.361289,6.587652,0.3059439,31.56591
