"","scenario","No fishing","-50%  fishing","+25%  fishing","+75%  fishing"
"1","Spurdog","0.735341127053599","0.817858010595394","0.973573790826661","0.972132561356278"
"2","Large.piscivorous.sharks","1.07803761703462","1.08172612305946","0.94346047717999","0.741253701751222"
"3","Small.sharks","0.746394015350377","0.849868977139359","1.02050799255577","1.0615975579265"
"4","Starry.ray...others","0.0137857854613288","0.416811956304508","0.99322531043428","1.31189723926776"
"5","Thornback...Spotted.ray","0.0126509546726831","0.421778402750722","1.0146613323149","1.28728094197099"
"6","Skate...cuckoo.ray","0.0226953590957292","0.544118331025422","0.990056316745439","1.19133018017233"
"7","Cod..juvenile.0.2.","0.0942408116701051","0.443435596697705","0.995930738115811","0.683509608307223"
"8","Cod..adult.","1.08496184703687","1.1692160536645","0.951429612439172","0.429528994720974"
"9","Whiting..juvenile.0.1.","0.0311895106314818","0.508488454089217","0.866260908180371","2.83302393501548"
"10","Whiting..adult.","0.32875197382055","0.766314849528039","1.00647479777185","2.27331038729388"
"11","Haddock..juvenile.0.1.","0.00410003441266281","0.46884112362299","1.40801950503242","4.36409596028835"
"12","Haddock..adult.","0.17338454724655","0.616535986870019","1.17827036807637","1.63188705699853"
"13","Saithe..juvenile.0.3.","0.0162692759783876","0.445372161897635","0.980769037108627","0.374962795191198"
"14","Saithe..adult.","1.04325727992187","1.08683318347483","0.993076288232363","0.289846273222671"
"15","Hake","1.39192159553661","1.33828265665608","0.930493009751414","1.05284550969344"
"16","Blue.whiting","1.63088552262418","1.22073588987327","0.985047372072908","2.6609757087224"
"17","Norway.pout","0.751836740010446","0.862019274090523","1.06276552134207","1.66885996329511"
"18","Other.gadoids..large.","0.112602851317874","0.502005983857875","1.02540691593751","1.07846923692947"
"19","Other.gadoids..small.","0.810143968943763","0.898414710589815","1.03058818832097","1.23594549512485"
"20","Monkfish","0.320743534025652","0.704254173460386","0.994769559101592","0.993791916812016"
"21","Gurnards","0.0010305167210414","0.38193257946638","1.0073396269664","1.6235101704095"
"22","Herring..juvenile.0.1.","0.958234464288337","0.990828549284628","0.978373091470232","1.04881369934175"
"23","Herring..adult.","0.70421171903119","0.863067197754798","1.03686889441796","1.34418086673661"
"24","Sprat","0.676076896911167","0.837304273536473","1.12048062452635","1.38919076612536"
"25","Mackerel","1.43601424053511","1.19885336661497","0.952392965302536","0.441967691353166"
"26","Horse.mackerel","2.09710298563524","1.42386087105053","1.00065277356583","1.9468270480891"
"27","Sandeels","0.887386649399144","0.964407852780194","1.01554656345817","1.43287078552743"
"28","Plaice","0.0188957410119071","0.686896171053595","1.06817024246958","1.07775255941287"
"29","Dab","0.235763961595643","0.528327142734554","1.0265184296381","1.30899219082051"
"30","Long.rough.dab","0.00166017560480102","0.335855700403495","1.061359167464","1.70423954744621"
"31","Flounder","0","0.404259239929425","1.03523159545184","1.28761940189077"
"32","Sole","0.609446294143253","0.786036398488433","1.0454035079895","1.03185096934596"
"33","Lemon.sole","0.0270741483036135","0.422306717805978","0.999802544975874","1.32994120371876"
"34","Witch","0.00186223586181199","0.435938163338155","1.01535585864371","1.27200198693461"
"35","Turbot","0.922877555534368","0.958169298599268","1.0387202391096","0.484450655218062"
"36","Megrim","0.00193604680880739","0.377706852107013","1.05490085081752","1.4638181592588"
"37","Halibut","0.0178468326138755","0.453088786216074","0.992985930700877","1.50310701174404"
"38","Catfish..Wolf.fish.","0.0412233970428758","0.59695324399019","1.00609882817588","1.07034662038176"
"39","Large.demersal.fish","1.050311753192","1.1157705213605","1.0072549769157","1.18013355857596"
"40","Small.demersal.fish","0.213024803439172","0.551564340869383","1.00377122320625","1.38521702263243"
"41","Miscellaneous.filterfeeding.pelagic.fish","0.0914992978388897","0.481922646442798","0.995099665882392","1.61487492161052"
"42","Squid...cuttlefish","0.00356403737100715","0.418266163204988","0.983293380996554","1.57016668849501"
"43","Large.crabs","0.586513339165918","0.77436921522073","1.01484518690901","1.10663823115042"
"44","Nephrops","0.0153724397539608","0.365808790942449","1.05690572508675","1.22373841483542"
"45","Epifaunal.macrobenthos..mobile.grazers.","0.0147986793707713","0.403528942377797","1.00370081153172","1.34150823812415"
"46","Shrimp","0.796972772719033","0.912098705590902","1.0133099108436","0.905641476828179"
