EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 18:15:42"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus75"
StartYear,1991

Data,Biomass

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2060,0.05702786,0.01450301,0.01200678,0.001989683,0.0009402636,0.1646463,0.0007293611,0.001646901,0.1779408,0.08189217,0.08503974,0.05035607,0.03328123,0.06950348,0.006526494,0.2112174,0.001037038,0.4128206,0.01527175,0.0299033,0.007736302,0.09284952,1.417199,0.08604398,0.4413637,0.1083337,0.1673664,0.09969056,2.368835,0.4917168,0.153921,0.2384471,1.029667,2.697662,2.822941,0.4887925,0.2972085,0.4109077,0.1354191,0.08560755,0.008595615,0.04416693,0.03294693,0.05293727,0.04064726,0.02586218,0.4058259,0.02081002,0.04589121,0.1865605,1.949468,8.899548,0.02870792,1.145727,1.127139,70.61855,125.2346,0.08313115,28.04338,141.4303,97.37149,3.64699,0.1005068,1.386104,0.002553105,7.415743,23.6424,23.96261,1.1704E-06
2061,0.05669137,0.01445045,0.01197028,0.001980269,0.0009420594,0.1650354,0.000728299,0.001644215,0.1753706,0.08055603,0.08511692,0.05017831,0.03333583,0.06962319,0.006578706,0.2091774,0.0006884809,0.3955171,0.01439176,0.02875114,0.007391867,0.09029293,1.419506,0.08545249,0.4431406,0.1087923,0.1657971,0.09899026,2.384548,0.4896613,0.1465259,0.2313484,1.010963,2.698485,2.824029,0.4898584,0.2967744,0.412956,0.1354212,0.08559263,0.008402861,0.04402149,0.03268004,0.05325763,0.04064482,0.02559453,0.4027513,0.02069186,0.04573393,0.185217,1.930864,8.8169,0.0285049,1.146299,1.12788,70.59167,125.1648,0.08371864,28.03403,141.3915,97.34148,3.646884,0.1004902,1.386107,0.002527153,7.419473,23.63481,23.95936,1.167567E-06
2062,0.056354,0.01439744,0.01193131,0.001970575,0.0009446296,0.1654611,0.0007274969,0.001642209,0.1733761,0.07939651,0.08526993,0.05003902,0.03281023,0.06974027,0.006592384,0.2080066,0.0006365682,0.3654839,0.01367496,0.02741595,0.007052528,0.08766869,1.425501,0.08543975,0.445184,0.1086636,0.1646963,0.09819745,2.39968,0.4864711,0.1392512,0.2242373,1.003956,2.699128,2.824586,0.4911831,0.2965454,0.4148847,0.1354115,0.08557516,0.008224222,0.043939,0.03241883,0.05362042,0.0406468,0.0253136,0.4014221,0.02053371,0.04553821,0.1836803,1.909419,8.724677,0.02825943,1.148141,1.133875,70.57833,125.1298,0.08434372,28.03415,141.3857,97.3225,3.647148,0.1004906,1.386439,0.00250283,7.425651,23.63002,23.95988,1.16262E-06
2063,0.05601943,0.0143445,0.01189151,0.001960947,0.0009481521,0.1659555,0.0007271248,0.00164117,0.1722577,0.07851762,0.08554924,0.04998042,0.03186973,0.06941588,0.0065683,0.207513,0.0009009339,0.3247293,0.01316632,0.02607316,0.006718544,0.08483221,1.433782,0.08610324,0.4474008,0.1079378,0.1642696,0.09726057,2.415271,0.4814962,0.1322656,0.2171741,1.008348,2.699944,2.824975,0.4930258,0.2966993,0.4168302,0.1353981,0.08557328,0.008069104,0.04390182,0.0321788,0.05400817,0.04065473,0.02501582,0.4018661,0.02033022,0.04528075,0.1819354,1.884489,8.621459,0.02795115,1.15131,1.146713,70.58579,125.1326,0.08500665,28.0408,141.404,97.32095,3.648133,0.1005101,1.38713,0.002482477,7.434628,23.62854,23.96471,1.155963E-06
2064,0.05569084,0.01429206,0.01185261,0.001952137,0.0009526485,0.1665444,0.0007273124,0.001641218,0.1721491,0.07797804,0.08597794,0.05003123,0.0307788,0.06848574,0.006519047,0.2074337,0.002555226,0.2784277,0.01281786,0.02487936,0.006387305,0.08161281,1.442035,0.08744984,0.4495495,0.1066717,0.1646059,0.09609481,2.432151,0.4743159,0.1256696,0.2101775,1.02169,2.701179,2.825561,0.495403,0.2973755,0.4189394,0.135376,0.08559743,0.007942553,0.04387789,0.03197784,0.05438923,0.04067042,0.02469413,0.4037611,0.02008432,0.04492316,0.1800112,1.856197,8.508193,0.02755754,1.155612,1.16728,70.6157,125.172,0.08563022,28.05342,141.4432,97.34274,3.650179,0.1005494,1.388204,0.002467967,7.44636,23.63058,23.97404,1.148767E-06
2065,0.05536864,0.01423995,0.0118165,0.001944264,0.0009576811,0.1672414,0.000727948,0.001641989,0.1728068,0.07769245,0.08651488,0.05017551,0.02977602,0.06712797,0.006439409,0.2071315,0.00248501,0.2695283,0.01252345,0.02389485,0.006052249,0.07785302,1.440641,0.08885351,0.4509919,0.1052357,0.16545,0.0947305,2.450094,0.4649822,0.1194176,0.2031291,1.026715,2.702901,2.826579,0.4979043,0.2985357,0.4212593,0.1353401,0.08564523,0.007836943,0.04380694,0.0318095,0.05467972,0.04069331,0.02433428,0.4058653,0.01981708,0.04438769,0.1781207,1.827765,8.397916,0.02707168,1.159007,1.189733,70.65137,125.2376,0.08604493,28.07218,141.5013,97.39084,3.652996,0.1005991,1.389483,0.00245893,7.458569,23.63451,23.98559,1.144288E-06
2066,0.05504455,0.01418635,0.0117845,0.001936394,0.0009617107,0.1680204,0.0007282591,0.001641938,0.1729453,0.07721462,0.08697712,0.05028145,0.0291164,0.06576648,0.00628012,0.2053508,0.002090122,0.3316674,0.012176,0.02306603,0.005700709,0.07365846,1.420269,0.08894018,0.4514037,0.1047769,0.1656776,0.09376317,2.46853,0.4549658,0.1131291,0.195668,0.9968154,2.704952,2.828104,0.4996035,0.299616,0.4236895,0.1353171,0.08570915,0.007711174,0.04357746,0.03161249,0.05480956,0.04071623,0.02393862,0.4050245,0.01965538,0.04376504,0.176931,1.810534,8.323581,0.02657208,1.158432,1.200763,70.66222,125.3006,0.08638739,28.09132,141.5639,97.45504,3.653394,0.1006092,1.39,0.002448788,7.463485,23.63213,23.98857,1.148231E-06
2067,0.0547103,0.01412978,0.01175372,0.001928134,0.0009642141,0.1687628,0.0007278314,0.001640419,0.1715942,0.07624211,0.08725769,0.05025324,0.02919495,0.06455163,0.00606672,0.2022184,0.001787877,0.3871603,0.0117197,0.02231721,0.00533158,0.0698925,1.400823,0.08794188,0.4523147,0.1055456,0.1646447,0.09355053,2.484945,0.4465851,0.1065591,0.1878625,0.9523706,2.707383,2.830396,0.5007169,0.3002069,0.4261193,0.1353462,0.08579033,0.007535432,0.04319453,0.03134942,0.05496487,0.04073704,0.02357166,0.4009477,0.01966496,0.04351278,0.1764148,1.802659,8.27313,0.02625176,1.156503,1.203659,70.65898,125.3055,0.08701187,28.08643,141.5594,97.50051,3.648376,0.1005496,1.389006,0.002431456,7.460308,23.61899,23.97735,1.153818E-06
2068,0.05436612,0.01407072,0.01172031,0.001919212,0.0009661363,0.1694185,0.0007271576,0.001638274,0.1691547,0.07493475,0.08740851,0.05012118,0.02991378,0.06380497,0.005892076,0.1986232,0.001380567,0.4080124,0.01113622,0.02157017,0.004960303,0.06686377,1.392534,0.08671758,0.4541456,0.1066948,0.1628726,0.09324347,2.499625,0.4402927,0.09981808,0.1800488,0.913667,2.709733,2.832958,0.5016473,0.3004496,0.4283977,0.1353844,0.08585312,0.007324181,0.04279003,0.03103455,0.05523003,0.04075965,0.02325275,0.3960838,0.0196697,0.04345629,0.1757871,1.790849,8.211035,0.02608817,1.155553,1.205376,70.64645,125.2259,0.08764107,28.05736,141.471,97.506,3.643952,0.1004843,1.38781,0.002407395,7.458029,23.60471,23.96449,1.156337E-06
2069,0.05401513,0.01401006,0.01168307,0.001909529,0.000968273,0.1700377,0.0007266269,0.001636197,0.1663617,0.07353539,0.08752221,0.04994344,0.03049096,0.06385336,0.005788667,0.194962,0.0008305474,0.4043353,0.01048022,0.02073465,0.004599552,0.06420192,1.39222,0.08576307,0.4564087,0.1076014,0.1609832,0.09256447,2.514363,0.4354453,0.09307411,0.172353,0.8851913,2.711331,2.83483,0.5025617,0.3005498,0.4304909,0.1353686,0.08586872,0.007101519,0.04245292,0.03069214,0.05556301,0.04078539,0.022952,0.3920156,0.01958844,0.04336001,0.1748032,1.773032,8.131871,0.02594096,1.155852,1.209002,70.62326,125.12,0.08829764,28.0333,141.3865,97.48919,3.643359,0.1004524,1.387415,0.00237957,7.460206,23.59504,23.95809,1.15536E-06
