EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 18:15:46"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus75"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2014,0,0,0,0,0,0.01426602,0.0004936845,0.0002600993,0,0.0016391,0.009098058,0.005540207,0.008808804,0.04589958,0.0005358625,0.02645151,0.0003925444,0.08490413,0.0094988,0.1098177,0.0006827346,0.00299098,0.3639992,0.02538878,0.0232573,0.03157797,0.0024205,0.009403233,0.8569219,0.02990068,0.1811229,0.04274762,0.3741994,0.6090574,0.09488809,0.001310681,0.02687284,0.08474559,0.004824897,0.00902495,0.007391572,0.000491532,0.0003467497,0,0.004924008,0.004957691,0.08479786,0.002335234,0.0004042281,0,0,0,0,0.0253539,0.01757029,0.01096259,0,0.209479,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0.01429444,0.0005107021,0.0002580276,0,0.001766162,0.009815981,0.005988992,0.01636145,0.0456182,0.0004269484,0.02507776,0.000380164,0.09710524,0.009250932,0.1166346,0.000617097,0.002805112,0.3713642,0.02566151,0.02354498,0.03282597,0.002536454,0.008584841,0.9385624,0.04221339,0.1818257,0.03802365,0.3535575,0.6330692,0.09942358,0.001398967,0.02880902,0.1012421,0.005179068,0.009669428,0.007891617,0.0005170022,0.0003695467,0,0.005442586,0.005275506,0.08594727,0.002502579,0.0004476598,0,0,0,0,0.02527337,0.01942837,0.01182714,0,0.2102785,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0.0143435,0.0005182081,0.000255601,0,0.001865194,0.0103931,0.00636217,0.02581788,0.05027391,0.0003236346,0.0232082,0.0003574498,0.109464,0.008802401,0.1163763,0.0005476991,0.002563892,0.385056,0.02583054,0.02384374,0.03369555,0.002634925,0.007676471,1.009246,0.05777724,0.1776371,0.03367038,0.3389843,0.6518963,0.1039713,0.001472899,0.03046842,0.1177354,0.005526929,0.01024326,0.008128807,0.0005457815,0.0003898113,0,0.005900526,0.005491299,0.08570573,0.002733106,0.0005060195,0,0,0,0,0.02528818,0.02133346,0.0127214,0,0.2133791,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0.01436568,0.0005178637,0.0002539443,0,0.001957687,0.01090696,0.006698042,0.02970897,0.06168639,0.000275471,0.02140809,0.0003199739,0.1185582,0.00868987,0.1100756,0.0004823541,0.002592292,0.433094,0.02594061,0.02491835,0.03418595,0.002757272,0.008098768,1.029729,0.08149598,0.1716565,0.03027962,0.3481009,0.6674926,0.1086732,0.001541912,0.03208056,0.1328461,0.005898542,0.01078944,0.008186202,0.0005897824,0.0004089822,0,0.006299802,0.005717172,0.08832091,0.003226658,0.000603915,0,0,0,0,0.02548192,0.02330956,0.01365873,0,0.2188967,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0.01419075,0.0005096059,0.0002538986,0,0.002080622,0.01145159,0.007060388,0.03214564,0.07590973,0.0003171912,0.02036986,0.0002810419,0.1252594,0.009593228,0.09872449,0.0004340127,0.003486388,0.5479349,0.02574796,0.02699663,0.0341648,0.002975011,0.01023933,0.9725513,0.1225411,0.1680741,0.0286633,0.3942266,0.6796048,0.1132706,0.001611412,0.0339447,0.1449844,0.006283503,0.01130164,0.008297187,0.0006770866,0.0004304148,0,0.006649766,0.006139994,0.09498698,0.004065877,0.0007599,0,0,0,0,0.02580389,0.02529864,0.01459394,0,0.2229035,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0.01396814,0.0004986905,0.0002556098,0,0.002272073,0.01205027,0.007488795,0.0323843,0.08890959,0.0006481895,0.02032943,0.0003004546,0.1290089,0.011704,0.08640992,0.0004144659,0.005916579,0.7027059,0.02579864,0.02908146,0.03398011,0.003353627,0.01080871,0.9480634,0.1805172,0.1681251,0.02887387,0.4585271,0.6866565,0.1172809,0.001682525,0.03609979,0.1534928,0.006631326,0.01173121,0.008720998,0.000844767,0.0004583878,0,0.0069538,0.006736889,0.1051603,0.004563837,0.0008792637,0,0,0,0,0.02613873,0.02722067,0.01546798,0,0.2196484,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0.01396855,0.0004881339,0.0002576685,0,0.002501711,0.01264659,0.007919727,0.02968208,0.09313056,0.001280903,0.0214289,0.0003953558,0.1250918,0.01539094,0.076115,0.0004180916,0.008791569,0.7736228,0.02648749,0.0296611,0.03393629,0.003812831,0.00966049,1.014777,0.2295023,0.1669997,0.02924163,0.4935341,0.6883557,0.1205671,0.001758387,0.03803334,0.1600184,0.006908814,0.01207238,0.009299519,0.00107849,0.0004919738,0,0.007200196,0.007098561,0.1146177,0.004324974,0.0008714483,0,0,0,0,0.0263942,0.02913731,0.01630269,0,0.215356,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0.0137262,0.000459596,0.0002562199,0,0.002555096,0.01249303,0.007841303,0.02672906,0.08509033,0.00157132,0.02487005,0.0006259017,0.1092986,0.01722492,0.06785267,0.00042451,0.01053838,0.7323782,0.02604376,0.02933531,0.03225914,0.003983805,0.008774746,1.037953,0.2446668,0.1561051,0.02884172,0.4960113,0.6740103,0.1184253,0.001742092,0.03741824,0.162323,0.006793328,0.01176479,0.009244107,0.001238493,0.0004966254,0,0.006991391,0.006919289,0.1153762,0.003966548,0.0008219338,0,0,0,0,0.02636813,0.02950092,0.01621277,0,0.2120504,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0.01349944,0.0004356925,0.0002550627,0,0.002576962,0.012352,0.007757234,0.02772846,0.07613757,0.001445054,0.03026522,0.0006640086,0.1032335,0.01733018,0.06637453,0.0004296582,0.01213672,0.7001214,0.0256001,0.02912201,0.03078962,0.004083303,0.008712874,1.012387,0.2462442,0.1473194,0.02820908,0.4977968,0.6659684,0.117443,0.001737351,0.03698317,0.1649928,0.006762314,0.01162807,0.00913978,0.001351909,0.0005002815,0,0.006803583,0.006757015,0.1145296,0.003939645,0.0008320883,0,0,0,0,0.02636338,0.03006501,0.01621092,0,0.2076681,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0.01318985,0.0004150499,0.0002544755,0,0.002585154,0.01218251,0.007676428,0.03064793,0.07054847,0.001209787,0.03562443,0.0005848992,0.1189464,0.01678529,0.06841352,0.0004357615,0.01483335,0.6956339,0.02478799,0.02922342,0.02960403,0.004149613,0.009352047,0.9440429,0.2441882,0.1411473,0.02793279,0.5030605,0.6617857,0.1171614,0.001732771,0.03686615,0.1669903,0.006775324,0.01157651,0.009015718,0.00142765,0.0005033202,0,0.006643073,0.006730948,0.1135275,0.004098961,0.0008786023,0,0,0,0,0.02637249,0.03052577,0.0162254,0,0.2007143,0,0,0,0,0,0,0,0,0,0,0
