EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 15:59:02"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effbaseline"
StartYear,1991

Data,Biomass

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2014,0.07091633,0.01641408,0.01088823,0.00173591,0.001237018,0.2645586,0.001680841,0.001882963,0.2084303,0.1063623,0.1127234,0.06668898,0.02628466,0.1006755,0.004500444,0.1272247,0.002398851,0.3745941,0.06514719,0.2752927,0.005188803,0.01468466,1.17235,0.1827761,0.3331586,0.2027501,0.1637534,0.1220134,4.354248,0.1075459,0.618085,0.342895,1.068557,3.141722,3.435086,0.5834903,0.3629212,0.2315591,0.1614611,0.1135773,0.02059867,0.02219352,0.03394191,0.05597466,0.05815266,0.02684337,0.4760516,0.0197443,0.03475041,0.240267,1.80312,10.16241,0.02639486,1.208908,1.031384,79.58081,135.887,0.1002946,29.23704,148.894,112.2153,3.868029,0.10502,1.446097,0.003964742,7.880407,24.80845,25.08659,8.473782E-07
2015,0.07064426,0.01631238,0.01107968,0.001714547,0.001191148,0.2571729,0.001675022,0.001845675,0.2001396,0.1050705,0.1117024,0.06631353,0.04620254,0.09890064,0.00330453,0.1210684,0.002119364,0.3991423,0.05860193,0.2816529,0.004686922,0.01310528,1.11672,0.1723004,0.3341716,0.1981529,0.156917,0.1094777,4.400539,0.1437868,0.5940524,0.3044113,0.9874528,3.191018,3.370045,0.567303,0.3566898,0.2721863,0.158686,0.1115985,0.0211208,0.02141434,0.03308762,0.05497527,0.05915098,0.02710447,0.4506053,0.0192663,0.03478862,0.2395035,1.738083,9.898106,0.02654547,1.187357,1.042687,78.40681,134.9889,0.09988786,29.27016,148.6689,110.9574,3.901437,0.1052881,1.453934,0.003798885,7.925229,24.82369,25.12442,8.885536E-07
2016,0.07032668,0.01620891,0.01125725,0.001701329,0.001156217,0.2515043,0.001656785,0.001807236,0.191189,0.1026217,0.1095885,0.06552506,0.06860895,0.1093099,0.002324159,0.1124322,0.001825831,0.4234649,0.05232434,0.2773106,0.004193221,0.01133831,1.090427,0.1637037,0.3333695,0.1937044,0.1502127,0.09548051,4.404804,0.1876379,0.5689623,0.2691877,0.9189649,3.224651,3.314071,0.5473377,0.3490875,0.3147424,0.1562913,0.1095238,0.02162679,0.02096644,0.03219933,0.05408747,0.05967992,0.02694009,0.4210061,0.01914617,0.03564108,0.2404864,1.743018,9.871214,0.02668271,1.167926,1.055018,77.63076,135.3601,0.100686,29.55087,149.5291,110.2855,3.91296,0.1055456,1.461841,0.003646826,7.943635,24.84375,25.16545,9.330433E-07
2017,0.06998356,0.01610918,0.01142684,0.001696106,0.00113377,0.2467328,0.001630883,0.001775011,0.1844938,0.1001931,0.1072608,0.06474545,0.07495315,0.1360664,0.001841815,0.1035985,0.001477603,0.4346282,0.04947858,0.2648389,0.003758283,0.01066369,1.153938,0.1566832,0.3413052,0.1892597,0.145431,0.09673861,4.249193,0.2520224,0.5498375,0.2414254,0.906471,3.250903,3.269004,0.5272921,0.3425265,0.3559743,0.1550292,0.1077752,0.02224619,0.02118072,0.03138306,0.0537644,0.059868,0.02687189,0.407559,0.02054916,0.03858191,0.2458301,1.864697,10.17545,0.02794944,1.155391,1.069156,77.26118,135.7682,0.1025584,29.64148,149.9079,109.7937,3.863387,0.1051526,1.45464,0.003518723,7.872942,24.76922,25.07627,9.705655E-07
2018,0.06964835,0.01602525,0.01160343,0.001698419,0.001120138,0.2410416,0.001598346,0.001753657,0.1818776,0.09923313,0.1054916,0.06443603,0.07717789,0.1730792,0.002015515,0.0969725,0.001094158,0.4362479,0.05333591,0.2464051,0.003463835,0.01235734,1.337197,0.150212,0.3583021,0.1843895,0.144819,0.1201746,3.878892,0.3534329,0.5445022,0.2254958,0.9638234,3.266056,3.222852,0.5077903,0.3389865,0.3912202,0.1544267,0.1061839,0.02343445,0.02274157,0.03082555,0.05311014,0.05985644,0.02743989,0.4102694,0.02306557,0.04329765,0.252725,2.070709,10.66605,0.03059913,1.147078,1.081857,77.00562,135.1268,0.1037861,29.36724,148.9592,109.0203,3.799726,0.1043263,1.437075,0.003416433,7.744094,24.62432,24.88723,1.00667E-06
2019,0.069349,0.01597093,0.0117999,0.00170971,0.001111347,0.2341914,0.001562742,0.001743043,0.1836193,0.1007432,0.1044069,0.06480273,0.07573939,0.2118735,0.00372043,0.09444907,0.0009881172,0.4309771,0.06568796,0.2269372,0.00338983,0.01793933,1.594169,0.1445689,0.3756872,0.1793789,0.1498867,0.1317612,3.616644,0.4899957,0.5571176,0.222788,1.062898,3.26322,3.163988,0.4887484,0.3384554,0.4176292,0.1534076,0.1043532,0.02573862,0.02639819,0.03071746,0.05140842,0.05971543,0.02870203,0.4250358,0.02452551,0.04690396,0.2528735,2.076657,10.57328,0.03353209,1.138597,1.089801,76.56787,133.4313,0.1027446,28.90711,147.1754,107.8596,3.769538,0.1037114,1.424003,0.003343471,7.695659,24.51049,24.75108,1.037231E-06
2020,0.06908794,0.01594297,0.01201511,0.001733124,0.001115254,0.2318994,0.001539439,0.001735442,0.186309,0.1034515,0.1034642,0.06531058,0.06993745,0.2369846,0.006548521,0.09712595,0.001187917,0.4086718,0.08152393,0.2122275,0.003516101,0.02344775,1.667863,0.1432654,0.3736186,0.176358,0.1569404,0.1139481,3.757855,0.5878019,0.573014,0.2218552,1.080553,3.240637,3.090291,0.4708623,0.336637,0.4381234,0.1512696,0.1021696,0.02885918,0.03152063,0.03096016,0.04876318,0.05938688,0.02913961,0.4340735,0.02146897,0.04319525,0.2385993,1.813968,9.790515,0.03257165,1.12678,1.095198,76.02187,132.6327,0.100437,28.92372,146.8843,107.0252,3.857779,0.1046404,1.44425,0.003317986,7.85533,24.64214,24.93785,1.055226E-06
2021,0.06881554,0.01591581,0.01222467,0.001759245,0.001122708,0.2330472,0.00152115,0.001723369,0.186099,0.1044049,0.102424,0.06536824,0.06551114,0.2384204,0.007565642,0.1081256,0.001762006,0.368648,0.09047928,0.2028835,0.003683142,0.02467995,1.56723,0.1437462,0.3600232,0.1740976,0.159849,0.09900982,3.906905,0.613106,0.5799475,0.2138393,1.01837,3.21671,3.027019,0.4570174,0.331825,0.4585464,0.1492971,0.1005009,0.03151337,0.03582705,0.03116442,0.04680425,0.05890751,0.02844844,0.4273588,0.01890763,0.03916095,0.2322001,1.722116,9.523202,0.02981493,1.115466,1.107106,75.81042,134.0338,0.1006946,29.56311,148.9321,107.1515,3.926285,0.1056281,1.468286,0.003312349,7.960744,24.78473,25.13808,1.047908E-06
2022,0.06851114,0.01588018,0.01241298,0.001780252,0.001125836,0.2336334,0.001501344,0.001711861,0.1842598,0.1035146,0.1013684,0.06513267,0.06764602,0.22408,0.006485216,0.1246754,0.002561713,0.3316076,0.09422454,0.2041712,0.003798962,0.02481135,1.481249,0.1430282,0.352254,0.1709224,0.1591228,0.0931753,3.92822,0.6022946,0.5828592,0.2028479,0.9729832,3.214288,3.001723,0.4497469,0.3277746,0.4793222,0.1492631,0.1000976,0.03318112,0.03842829,0.03119652,0.0465059,0.05841241,0.02769265,0.4178112,0.01849216,0.03912311,0.2351785,1.77232,9.652023,0.02905893,1.112994,1.131106,76.09498,135.682,0.1007922,29.92444,150.3825,107.5748,3.871232,0.1054813,1.465774,0.003303115,7.934658,24.76681,25.12298,1.048931E-06
2023,0.06819377,0.01584016,0.01258723,0.001797331,0.001125076,0.2330216,0.001482763,0.001705134,0.1821807,0.1020936,0.1003379,0.06485526,0.07459035,0.2098467,0.005077149,0.1383309,0.002407536,0.3365074,0.09387428,0.2199672,0.003864321,0.02594586,1.441336,0.1409507,0.3502185,0.1674378,0.1573142,0.1022193,3.77166,0.5821929,0.5860407,0.1928739,0.9558641,3.22658,3.003607,0.4467044,0.3265747,0.4980607,0.1503592,0.10036,0.03412891,0.03971007,0.03111673,0.04681911,0.05800229,0.02728193,0.4107343,0.01890675,0.04070241,0.2399492,1.892328,9.985525,0.0297855,1.118335,1.159838,76.51057,136.0463,0.0998483,29.77323,150.0227,107.6774,3.811444,0.10493,1.452711,0.003288597,7.851728,24.68449,25.00914,1.058615E-06
2024,0.06787226,0.01580128,0.01275861,0.001809846,0.001114126,0.2292203,0.001459546,0.001702664,0.18033,0.1009239,0.09944613,0.06469104,0.08246658,0.2067033,0.004080143,0.1450607,0.002126276,0.3887171,0.09187729,0.2448113,0.003925435,0.03045497,1.46241,0.1360152,0.3525477,0.1640638,0.1560146,0.1207793,3.488585,0.5787682,0.5941992,0.1872668,0.9694012,3.236208,3.008695,0.4435264,0.3281679,0.5118298,0.1510912,0.1004713,0.03477601,0.04041087,0.03102091,0.04670051,0.05772727,0.02753722,0.4071796,0.02029897,0.04380066,0.2478312,2.064163,10.44188,0.03177103,1.124058,1.180689,76.63319,134.9441,0.09840045,29.33904,148.4284,107.2707,3.763331,0.1040132,1.433219,0.003255934,7.719,24.53116,24.80604,1.071828E-06
