EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 15:59:06"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effbaseline"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
2053,0,0,0,0,0,0.01184634,0.0004158977,0.000236288,0,0.001549262,0.008644965,0.005670835,0.02920196,0.1238994,0.0004533037,0.0217666,0.0002443252,0.09358918,0.0141447,0.07253391,0.000819127,0.009088882,0.44294,0.0178834,0.02582117,0.02565016,0.002467296,0.007943968,0.5709279,0.1469103,0.1532659,0.01352455,0.2797621,0.5828399,0.08535296,0.001012456,0.02835677,0.1801265,0.004792989,0.008575619,0.01113787,0.00108932,0.0003395808,0,0.005227383,0.005317569,0.07524817,0.002382604,0.0005405004,0,0,0,0,0.02330467,0.02740339,0.01153875,0,0.1946043,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0.01181442,0.0004147425,0.0002356889,0,0.001530677,0.00857787,0.005638008,0.02629402,0.1323748,0.0003995098,0.02088066,9.503819E-05,0.09233136,0.01469934,0.07320723,0.0008068007,0.009092162,0.4377324,0.01757592,0.02567199,0.02583675,0.002429916,0.007848524,0.5758449,0.1435777,0.151153,0.01330005,0.2726778,0.579583,0.08441782,0.0009887064,0.02820926,0.1755035,0.004783638,0.008546324,0.01097511,0.001083563,0.000338169,0,0.005223684,0.005302168,0.07506972,0.002318751,0.0005331527,0,0,0,0,0.02308049,0.02712589,0.01151962,0,0.1961273,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0.0117813,0.0004128813,0.000234912,0,0.00150785,0.008535027,0.005598786,0.02352235,0.1301102,0.0003669504,0.01949818,2.710486E-05,0.08842628,0.01438767,0.07742939,0.0007890858,0.00882377,0.428413,0.01737068,0.0256112,0.02588854,0.002387879,0.007691745,0.5801065,0.1404408,0.1484498,0.0129769,0.2683834,0.5771289,0.08378854,0.000977919,0.02801786,0.1726265,0.004776276,0.008525527,0.01074786,0.001071097,0.0003359808,0,0.00522006,0.00527159,0.07553769,0.002249111,0.0005237986,0,0,0,0,0.02298813,0.02696142,0.01150867,0,0.1992814,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0.0117408,0.0004105713,0.0002343248,0,0.001487,0.008539055,0.005569016,0.02204653,0.1192362,0.0003592966,0.0181784,5.224821E-05,0.08318008,0.01366899,0.08327454,0.0007667191,0.008508462,0.4218288,0.01727212,0.02575473,0.02578773,0.002356909,0.007546175,0.5812752,0.1388658,0.145838,0.01260521,0.2691185,0.5767127,0.08374357,0.0009847935,0.02789875,0.172582,0.004776881,0.008526009,0.01053411,0.001057151,0.0003334128,0,0.00521765,0.005251106,0.07651884,0.002214359,0.0005208112,0,0,0,0,0.02306969,0.02701563,0.01150946,0,0.2019216,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0.01170218,0.0004085506,0.0002341664,0,0.001474534,0.008587121,0.005559098,0.02351373,0.1046919,0.0003781214,0.01729265,0.0001012322,0.07656317,0.012805,0.08859982,0.0007429996,0.008265097,0.4203676,0.01731879,0.02601137,0.02557147,0.002348305,0.007466747,0.5772786,0.1388865,0.1438124,0.01224232,0.2746504,0.5782713,0.08423988,0.001005856,0.02792192,0.1752133,0.004781152,0.008542147,0.01041109,0.001047392,0.0003310585,0,0.005217199,0.005248795,0.07734397,0.002206826,0.0005229429,0,0,0,0,0.02328949,0.02732925,0.01151514,0,0.202699,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0.01166642,0.0004072872,0.0002344482,0,0.001474241,0.008655251,0.005571116,0.02797502,0.09217688,0.000417572,0.01702843,0.0003518446,0.06839185,0.01194939,0.09172314,0.0007211566,0.008154457,0.4246979,0.01752986,0.02623293,0.02527156,0.002366078,0.00744809,0.5694863,0.1401472,0.1426747,0.01193895,0.2841063,0.5809199,0.08503474,0.001031789,0.02809482,0.1794565,0.004781296,0.008560266,0.01042644,0.001044602,0.0003294797,0,0.005218314,0.0052622,0.07744517,0.00222566,0.0005302695,0,0,0,0,0.02356254,0.02788872,0.01151674,0,0.201484,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0.01163273,0.0004069445,0.0002350341,0,0.001485951,0.008716746,0.005601281,0.03179988,0.08770407,0.0004637856,0.01738336,0.0005113313,0.06239489,0.01124289,0.09178404,0.0007035098,0.008169823,0.4331202,0.01784543,0.02633789,0.02492985,0.002406028,0.00747516,0.5602342,0.1419751,0.1424439,0.01172207,0.2945236,0.5833555,0.0857527,0.001051431,0.02837108,0.1835582,0.004772697,0.008567447,0.01056569,0.001048879,0.0003291004,0,0.005219761,0.005281128,0.07708917,0.002257571,0.0005385616,0,0,0,0,0.02377939,0.02857267,0.01150892,0,0.1992729,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0.01160229,0.0004070996,0.000235588,0,0.001501026,0.008747959,0.005634981,0.03243636,0.09512953,0.0004928389,0.01805209,0.0004148929,0.07207543,0.01084443,0.08877017,0.0006903822,0.008231212,0.4386807,0.01796471,0.02627545,0.02471809,0.00244682,0.007498603,0.5526357,0.1436232,0.1426392,0.01156892,0.295585,0.5841073,0.08595083,0.001053697,0.02863092,0.1853119,0.004756149,0.008555299,0.01073408,0.00105701,0.0003294369,0,0.00521977,0.00529175,0.07649234,0.002289946,0.0005405902,0,0,0,0,0.02377544,0.02893494,0.01148798,0,0.1966542,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0.01157428,0.0004069436,0.000235689,0,0.001506644,0.008730743,0.005650291,0.030748,0.1111954,0.0004830133,0.01859166,0.0003512795,0.0860956,0.01098792,0.083518,0.0006798808,0.008276394,0.4405855,0.01779105,0.02611764,0.02480106,0.002460766,0.007514544,0.5491299,0.1446369,0.1424849,0.01142998,0.2869431,0.5825132,0.08543473,0.001035737,0.02872712,0.1834613,0.00473805,0.008527276,0.01082062,0.001064062,0.0003296493,0,0.005216814,0.005291218,0.07559311,0.002319615,0.0005385454,0,0,0,0,0.02353622,0.02882305,0.01146062,0,0.1956404,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0.01154474,0.0004061375,0.0002352888,0,0.00150001,0.008675742,0.005641183,0.02813657,0.1259381,0.0004452992,0.01876309,0.0002803356,0.09228671,0.01176539,0.07767998,0.0006704906,0.008323888,0.442202,0.01749787,0.02601944,0.02503005,0.002446638,0.00752061,0.5489893,0.1447684,0.1417061,0.01128198,0.2768785,0.5794253,0.08448905,0.001008467,0.02864177,0.1791375,0.004724505,0.008494935,0.01079598,0.001068512,0.0003293502,0,0.005211366,0.005285352,0.07494997,0.002329317,0.000535714,0,0,0,0,0.0232227,0.02849092,0.0114378,0,0.1962589,0,0,0,0,0,0,0,0,0,0,0
