EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:21:40"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline
TimeSeries,"Katt_mints _baseline"
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2006,0.001975215,0.04063543,0.0231577,0.5932953,0.1768569,0.4763913,0.1826468,0.2371135,1.3775,0.2275655,0.8389073,0.07504488,0.01261797,0.9830195,0.4075237,8.724975,2.07687,12.86973,0.3067338,88.07296,66.00424,1.962058,10.76129,39.24139,0.05485481,6.681179,9.072132,0.2280624,27.77426
2007,0.002496889,0.04077179,0.02255511,0.6362401,0.1814298,0.5345466,0.2398563,0.296605,1.688281,0.258739,0.9876161,0.05748404,0.01190412,0.9844866,0.5694706,8.213881,2.084935,15.65417,0.513827,99.60839,91.98328,2.128,12.09032,46.88977,0.0428718,35.39613,5.197515,0.8729455,73.2181
2008,0.003732527,0.04087595,0.02819782,0.7290772,0.2376002,0.6579791,0.4354016,0.4496025,2.23788,0.3195542,1.083367,0.09392255,0.01535871,1.088427,0.6891346,8.613027,1.940751,9.572132,0.8804744,113.7307,108.173,2.478148,14.85609,50.14287,0.03226527,9.794225,5.756979,0.1209025,23.70568
2009,0.005814181,0.04106716,0.02819782,0.8027808,0.2158156,0.7307453,0.4020529,0.3040651,2.628168,0.3560493,1.090058,0.07237192,0.01246365,0.7336636,0.3078483,6.551486,1.296486,10.30152,0.4757713,106.7867,43.22039,2.468043,13.70734,27.18059,0.01614263,4.466028,6.544478,0.2972086,28.26967
2010,0.007242756,0.04115133,0.02819782,0.629364,0.1355231,0.5613378,0.2490274,0.2139004,2.497705,0.3062069,0.9794986,0.04254917,0.01080081,0.787585,0.2582923,6.60958,1.683795,11.08573,0.4241192,99.71871,44.02795,2.319576,12.68545,25.21821,0.0148415,9.897469,6.632246,0.3069944,31.95929
2011,0.00740023,0.0410716,0.02819782,0.5463548,0.104461,0.4232213,0.2110896,0.1906785,2.320606,0.2759506,0.8775647,0.05653543,0.0111494,0.7788186,0.234812,7.037614,1.7831,11.06079,0.3819853,94.21884,45.66352,2.177377,11.86951,24.17672,0.01491999,9.681672,6.655739,0.3063177,31.75862
2012,0.006969878,0.04097484,0.02819782,0.5180994,0.09707287,0.3566051,0.1898598,0.1792464,2.172035,0.25751,0.8419687,0.05858599,0.01094235,0.7724662,0.2225787,7.105934,1.789218,11.06337,0.3461507,90.57433,47.55743,2.054849,11.18224,23.99956,0.0155942,9.626567,6.663645,0.3062425,31.74633
2013,0.006167162,0.04090486,0.02819782,0.5037094,0.1103945,0.3694942,0.1378494,0.1748177,2.067492,0.2457176,0.8345134,0.05561003,0.0107385,0.7717822,0.212201,7.062009,1.782569,11.05304,0.3133173,88.55013,49.64662,1.953201,10.54799,24.3879,0.01641167,9.560143,6.660675,0.3061452,31.71585
2014,0.00522176,0.04085732,0.02819782,0.5052528,0.122821,0.3782191,0.09647993,0.1750345,2.007407,0.2391472,0.8292472,0.05449184,0.010576,0.7735059,0.2016795,7.062265,1.785621,11.03492,0.2835355,87.87476,51.77019,1.871763,9.960757,25.0785,0.0171501,9.491456,6.651104,0.3060547,31.67868
2015,0.00445255,0.0408229,0.02819782,0.5128681,0.1268264,0.3770721,0.08227631,0.1782755,1.985626,0.2366309,0.8278764,0.05389045,0.01044979,0.7761729,0.1924067,7.078196,1.787955,11.01554,0.2585248,88.19778,53.68904,1.807716,9.441725,25.80132,0.01768693,9.429908,6.639803,0.3059761,31.6435
2016,0.003904597,0.0407993,0.02819782,0.5165924,0.127601,0.3858623,0.0875212,0.1830623,1.993556,0.2369863,0.8257308,0.05342633,0.01035715,0.7787676,0.1848022,7.092647,1.789815,10.99861,0.2385571,89.18037,55.26189,1.757338,8.999383,26.41821,0.01799146,9.380109,6.629595,0.305912,31.61461
2017,0.003541089,0.04078477,0.02819782,0.5161521,0.1264237,0.4060855,0.1095949,0.1882155,2.022393,0.239156,0.8220665,0.05289618,0.01028969,0.7808113,0.1787498,7.102898,1.791546,10.9856,0.2230688,90.53474,56.42119,1.71691,8.627584,26.86682,0.01809063,9.344111,6.621703,0.3058662,31.59389
2018,0.003356162,0.04077681,0.02819782,0.5128255,0.1244703,0.4257981,0.1588146,0.1928785,2.06369,0.2422331,0.8181868,0.05239655,0.01023795,0.7820022,0.1739994,7.108694,1.793314,10.97726,0.2112235,92.02298,57.12924,1.68294,8.311606,27.10967,0.01803794,9.323201,6.616781,0.3058424,31.58256
2019,0.003366713,0.04077238,0.02819782,0.5082353,0.1220046,0.4423252,0.2128721,0.1964839,2.109871,0.2454719,0.8128881,0.05182034,0.01019511,0.7822502,0.1702762,7.110999,1.795467,10.97331,0.2021985,93.4786,57.43117,1.652407,8.034894,27.16971,0.01789497,9.31537,6.614775,0.3058348,31.57907
2020,0.003512515,0.04076811,0.02819782,0.5032477,0.1195235,0.4621582,0.232603,0.1988185,2.155678,0.2484113,0.8056856,0.05120001,0.01015975,0.781961,0.1672374,7.110929,1.79822,10.9718,0.1953223,94.82964,57.48691,1.62351,7.788916,27.15369,0.01771802,9.314517,6.614382,0.3058321,31.57889
2021,0.003672128,0.04076159,0.02819782,0.4986825,0.1173885,0.4794643,0.2302289,0.2000628,2.19883,0.2509386,0.7970841,0.05064843,0.01013367,0.7817244,0.1645757,7.107958,1.800903,10.97064,0.1901082,96.06834,57.44927,1.595832,7.572511,27.1547,0.01754375,9.315651,6.614071,0.3058307,31.57877
